id,psu,country,wave,q1,wt,stratum,Q1001,Q1002,Q1003,Q1005,Q100,Q101,Q102,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q209B,Q501,Q501A,Q266,Q263,Q516A,Q512,Q515A2,Q511
1759,176,Algeria,5,10002,0.290752308818653,5,22.0,1.0,2.0,6.0,3.0,4,3,4.0,4,4.0,4.0,4.0,4.0,4.0,2,2,2.0,2.0,2.0,4,3.0,5.0
1766,177,Algeria,5,10002,1.20914949977495,5,68.0,2.0,1.0,4.0,3.0,3,98,3.0,2,3.0,98.0,2.0,3.0,2.0,2,2,2.0,3.0,98.0,98,1.0,98.0
1777,178,Algeria,5,10002,0.290752308818653,5,21.0,1.0,2.0,6.0,2.0,4,3,4.0,4,4.0,4.0,2.0,4.0,4.0,2,2,2.0,4.0,1.0,5,3.0,5.0
1746,175,Algeria,5,10002,0.604574749887473,5,74.0,2.0,1.0,4.0,2.0,98,98,1.0,2,3.0,3.0,2.0,3.0,2.0,2,2,99.0,2.0,3.0,10,3.0,8.0
1775,178,Algeria,5,10002,3.06310597510899,5,39.0,1.0,2.0,2.0,3.0,98,98,2.0,3,3.0,3.0,2.0,3.0,2.0,2,2,2.0,2.0,3.0,9,2.0,6.0
1785,179,Algeria,5,10002,0.660380212127563,5,68.0,1.0,1.0,3.0,2.0,3,98,3.0,2,3.0,3.0,2.0,3.0,98.0,2,2,2.0,3.0,3.0,98,1.0,98.0
1783,179,Algeria,5,10002,0.43612845357264207,5,20.0,1.0,2.0,6.0,2.0,3,98,3.0,2,3.0,97.0,2.0,3.0,98.0,2,2,2.0,3.0,3.0,6,1.0,6.0
1778,178,Algeria,5,10002,0.5323645413811621,5,23.0,2.0,2.0,4.0,2.0,4,3,4.0,4,4.0,4.0,1.0,4.0,3.0,2,2,1.0,2.0,3.0,5,1.0,4.0
1768,177,Algeria,5,10002,4.077889238384589,5,36.0,2.0,2.0,4.0,3.0,3,98,3.0,3,3.0,97.0,2.0,3.0,2.0,2,2,2.0,3.0,2.0,5,1.0,6.0
1796,180,Algeria,5,10002,1.20914949977495,5,66.0,2.0,1.0,4.0,3.0,4,3,4.0,4,4.0,3.0,2.0,3.0,4.0,2,2,2.0,2.0,98.0,4,98.0,5.0
1773,178,Algeria,5,10002,0.290752308818653,5,19.0,1.0,2.0,6.0,2.0,3,98,3.0,2,3.0,3.0,1.0,3.0,3.0,1,2,2.0,3.0,3.0,0,2.0,3.0
1800,180,Algeria,5,10002,0.604574749887473,5,66.0,2.0,1.0,4.0,3.0,98,3,4.0,3,3.0,3.0,98.0,98.0,98.0,2,2,2.0,98.0,98.0,4,98.0,4.0
