id,psu,country,wave,q1,wt,stratum,Q1001,Q1002,Q1003,Q1005,Q100,Q101,Q102,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q209B,Q501,Q501A,Q266,Q263,Q516A,Q512,Q515A2,Q511
344,43,Egypt,5,50006,0.9718263095604879,8,26.0,2.0,6.0,1.0,1.0,2,1,2.0,2,97.0,2.0,2.0,2.0,2.0,1,1,1.0,2.0,3.0,7,1.0,6.0
2078,260,Egypt,5,50027,0.462430484604061,43,63.0,2.0,1.0,4.0,98.0,4,98,98.0,4,4.0,3.0,2.0,4.0,98.0,2,2,1.0,1.0,1.0,98,1.0,98.0
1722,216,Egypt,5,50024,0.278897644583436,36,32.0,2.0,4.0,4.0,1.0,2,2,2.0,1,2.0,3.0,1.0,4.0,3.0,2,2,1.0,1.0,1.0,5,2.0,98.0
756,95,Egypt,5,50010,0.42504042817219206,16,63.0,2.0,2.0,3.0,98.0,3,98,2.0,3,3.0,98.0,2.0,2.0,1.0,2,2,2.0,2.0,1.0,96,1.0,96.0
2273,285,Egypt,5,50001,0.34117920059665197,1,37.0,1.0,6.0,1.0,1.0,2,1,2.0,2,2.0,2.0,2.0,2.0,1.0,2,2,1.0,2.0,3.0,8,4.0,8.0
2147,269,Egypt,5,50027,0.688324335357906,43,46.0,1.0,2.0,7.0,1.0,2,98,4.0,2,3.0,97.0,1.0,4.0,4.0,1,2,1.0,1.0,2.0,5,1.0,0.0
2089,262,Egypt,5,50027,0.478473512150568,43,21.0,1.0,4.0,5.0,1.0,3,1,2.0,2,4.0,3.0,1.0,3.0,1.0,2,2,2.0,1.0,3.0,10,4.0,4.0
1000,125,Egypt,5,50015,0.9630375629279501,19,26.0,2.0,7.0,2.0,3.0,3,1,3.0,1,4.0,3.0,2.0,2.0,2.0,2,1,2.0,1.0,3.0,10,4.0,3.0
1156,145,Egypt,5,50018,0.515614532378977,24,58.0,2.0,1.0,4.0,2.0,3,5,3.0,4,4.0,3.0,4.0,4.0,3.0,2,2,1.0,3.0,3.0,8,3.0,0.0
1718,215,Egypt,5,50023,0.271266017991106,35,38.0,2.0,6.0,1.0,1.0,1,2,2.0,2,2.0,3.0,2.0,3.0,2.0,2,2,1.0,1.0,3.0,4,3.0,7.0
1231,154,Egypt,5,50019,0.246144466903379,27,35.0,1.0,6.0,1.0,3.0,3,5,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,1.0,2.0,3.0,8,4.0,0.0
1058,133,Egypt,5,50015,0.663013427025184,20,22.0,2.0,4.0,5.0,1.0,2,2,3.0,3,3.0,2.0,1.0,3.0,2.0,2,1,1.0,3.0,3.0,4,1.0,4.0
1447,181,Egypt,5,50021,0.5622291269556821,30,24.0,1.0,4.0,2.0,3.0,2,1,4.0,4,3.0,2.0,1.0,4.0,2.0,2,2,99.0,2.0,1.0,3,1.0,5.0
2091,262,Egypt,5,50027,0.229441445119302,43,52.0,1.0,3.0,2.0,3.0,4,3,3.0,2,4.0,3.0,2.0,3.0,1.0,1,2,1.0,1.0,3.0,9,1.0,5.0
2100,263,Egypt,5,50027,0.386831160921048,43,49.0,2.0,2.0,4.0,3.0,3,4,4.0,4,4.0,4.0,2.0,4.0,1.0,2,2,2.0,2.0,1.0,7,3.0,6.0
1476,185,Egypt,5,50021,0.611929384088377,31,34.0,2.0,4.0,4.0,1.0,2,2,3.0,2,3.0,2.0,3.0,2.0,2.0,2,2,1.0,2.0,1.0,2,3.0,5.0
2217,278,Egypt,5,50001,0.3785492220754939,1,20.0,1.0,4.0,5.0,1.0,2,1,3.0,3,3.0,3.0,2.0,3.0,2.0,1,1,1.0,3.0,3.0,5,2.0,5.0
624,78,Egypt,5,50008,0.412128217367609,12,54.0,2.0,4.0,1.0,1.0,2,2,4.0,3,4.0,3.0,1.0,4.0,1.0,2,2,1.0,1.0,3.0,1,4.0,4.0
689,87,Egypt,5,50008,0.292218544910951,12,55.0,1.0,6.0,1.0,2.0,2,2,2.0,1,3.0,2.0,3.0,3.0,2.0,2,2,1.0,2.0,3.0,7,3.0,8.0
1180,148,Egypt,5,50018,0.21566027196357898,25,52.0,2.0,6.0,7.0,1.0,3,2,3.0,3,3.0,2.0,2.0,3.0,2.0,1,2,2.0,99.0,3.0,5,3.0,5.0
2152,269,Egypt,5,50027,0.4033457514158689,43,20.0,2.0,4.0,5.0,3.0,3,98,3.0,2,3.0,97.0,2.0,4.0,3.0,2,2,2.0,3.0,1.0,5,4.0,5.0
161,21,Egypt,5,50005,0.606463467707453,5,38.0,1.0,4.0,2.0,2.0,2,2,2.0,3,3.0,2.0,2.0,3.0,2.0,1,2,1.0,2.0,2.0,5,2.0,5.0
2004,251,Egypt,5,50026,0.46247520275511694,41,50.0,2.0,3.0,4.0,1.0,1,1,2.0,2,2.0,2.0,1.0,2.0,2.0,2,2,1.0,2.0,3.0,7,4.0,10.0
322,41,Egypt,5,50006,0.575304779053552,8,59.0,2.0,1.0,4.0,2.0,2,2,2.0,3,3.0,2.0,2.0,4.0,2.0,2,2,1.0,1.0,3.0,8,1.0,8.0
1547,194,Egypt,5,50022,0.277984826387484,33,35.0,1.0,6.0,7.0,1.0,2,1,2.0,2,2.0,2.0,3.0,2.0,2.0,1,1,1.0,2.0,3.0,9,2.0,7.0
1822,228,Egypt,5,50024,0.414333859687305,37,50.0,2.0,4.0,4.0,1.0,1,2,1.0,3,97.0,2.0,1.0,2.0,1.0,1,1,1.0,1.0,3.0,3,1.0,9.0
1461,183,Egypt,5,50021,0.675635198456485,30,41.0,1.0,1.0,7.0,98.0,98,98,4.0,2,3.0,4.0,1.0,4.0,1.0,2,2,1.0,2.0,2.0,5,1.0,5.0
1146,144,Egypt,5,50017,0.47845041110500797,23,23.0,2.0,4.0,1.0,3.0,3,5,1.0,2,1.0,3.0,1.0,2.0,4.0,1,2,98.0,1.0,99.0,10,1.0,9.0
809,102,Egypt,5,50014,0.282286180671532,17,39.0,1.0,7.0,1.0,1.0,3,3,2.0,2,3.0,2.0,2.0,3.0,1.0,1,1,1.0,1.0,2.0,4,4.0,6.0
2048,256,Egypt,5,50027,0.4033457514158689,42,20.0,2.0,6.0,5.0,2.0,4,3,3.0,3,4.0,4.0,4.0,4.0,3.0,2,2,2.0,2.0,1.0,5,3.0,5.0
174,22,Egypt,5,50005,0.274639936695235,5,27.0,2.0,6.0,1.0,2.0,3,5,4.0,4,4.0,4.0,4.0,4.0,3.0,2,2,1.0,2.0,3.0,10,1.0,0.0
513,65,Egypt,5,50007,0.27724253880955296,10,36.0,1.0,6.0,1.0,1.0,2,1,3.0,2,4.0,4.0,1.0,4.0,1.0,1,2,1.0,1.0,3.0,4,4.0,4.0
2355,295,Egypt,5,50001,0.3785492220754939,1,19.0,1.0,4.0,5.0,3.0,3,3,4.0,3,3.0,3.0,2.0,3.0,2.0,1,1,1.0,1.0,2.0,8,2.0,6.0
929,117,Egypt,5,50015,0.393253631553242,19,21.0,1.0,4.0,5.0,98.0,3,4,4.0,4,3.0,3.0,1.0,3.0,1.0,1,1,2.0,3.0,3.0,8,1.0,6.0
1806,226,Egypt,5,50024,0.414333859687305,37,45.0,2.0,4.0,4.0,1.0,2,1,3.0,3,3.0,4.0,3.0,3.0,1.0,2,2,1.0,1.0,2.0,10,3.0,8.0
1771,222,Egypt,5,50024,0.737262421947823,37,54.0,1.0,2.0,3.0,3.0,4,3,2.0,4,4.0,3.0,1.0,3.0,2.0,2,2,1.0,1.0,3.0,5,3.0,7.0
2000,250,Egypt,5,50026,0.9339080674506679,41,25.0,2.0,6.0,1.0,1.0,2,1,2.0,2,3.0,2.0,1.0,3.0,2.0,1,1,1.0,2.0,3.0,5,1.0,7.0
2172,272,Egypt,5,50001,0.92702798149875,1,31.0,2.0,6.0,6.0,3.0,2,1,3.0,2,98.0,2.0,1.0,2.0,1.0,2,1,1.0,1.0,3.0,96,2.0,96.0
1197,150,Egypt,5,50019,0.273105149145999,26,18.0,1.0,4.0,5.0,2.0,1,1,2.0,2,4.0,3.0,2.0,3.0,1.0,1,1,1.0,1.0,3.0,5,3.0,6.0
1558,195,Egypt,5,50022,0.520008548826512,33,21.0,2.0,6.0,6.0,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,1.0,1,1,1.0,1.0,3.0,7,3.0,5.0
1063,133,Egypt,5,50015,1.14241432678924,20,31.0,1.0,6.0,7.0,1.0,2,1,3.0,3,4.0,4.0,2.0,3.0,2.0,2,1,1.0,3.0,3.0,5,3.0,7.0
2229,279,Egypt,5,50001,0.34117920059665197,1,43.0,1.0,6.0,1.0,1.0,3,3,3.0,3,3.0,3.0,1.0,3.0,2.0,1,1,1.0,1.0,2.0,10,2.0,9.0
481,61,Egypt,5,50007,0.27724253880955296,10,38.0,1.0,6.0,1.0,1.0,1,1,1.0,3,2.0,97.0,1.0,3.0,3.0,2,2,1.0,2.0,2.0,2,1.0,8.0
2068,259,Egypt,5,50027,0.48470378665728897,43,36.0,2.0,6.0,1.0,1.0,2,1,2.0,4,97.0,97.0,1.0,3.0,2.0,1,1,99.0,1.0,3.0,4,4.0,4.0
1984,248,Egypt,5,50026,0.552857819463668,41,55.0,2.0,1.0,4.0,3.0,98,98,4.0,4,3.0,2.0,1.0,3.0,1.0,2,2,2.0,2.0,98.0,6,3.0,5.0
830,104,Egypt,5,50014,0.6810837242752991,18,63.0,2.0,1.0,4.0,3.0,2,3,2.0,2,2.0,2.0,2.0,2.0,2.0,2,2,1.0,1.0,1.0,5,3.0,5.0
2056,257,Egypt,5,50027,0.26889716761057897,42,18.0,2.0,6.0,5.0,1.0,2,2,2.0,2,2.0,2.0,2.0,2.0,1.0,2,2,1.0,2.0,1.0,7,2.0,8.0
