id,psu,country,wave,q1,wt,stratum,Q1001,Q1002,Q1003,Q1005,Q100,Q101,Q102,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q209B,Q501,Q501A,Q266,Q263,Q516A,Q512,Q515A2,Q511
83697082,735,Iraq,5,70001,1.28579244835134,1,56.0,1.0,6.0,6.0,2.0,4,3,4.0,4,3.0,3.0,2.0,3.0,2.0,2,2,1.0,3.0,3.0,5,3.0,2.0
83539089,19,Iraq,5,70001,0.512550372079291,2,32.0,1.0,3.0,2.0,2.0,4,2,4.0,4,3.0,4.0,1.0,2.0,2.0,2,2,1.0,2.0,1.0,0,3.0,3.0
83393138,3,Iraq,5,70001,1.0666184946586201,1,18.0,1.0,2.0,2.0,2.0,3,2,4.0,2,4.0,3.0,4.0,2.0,2.0,2,2,1.0,1.0,1.0,10,4.0,5.0
83165232,809,Iraq,5,70001,1.28579244835134,1,65.0,1.0,2.0,6.0,2.0,4,5,3.0,2,4.0,3.0,2.0,2.0,1.0,2,2,1.0,3.0,3.0,0,3.0,10.0
83629449,762,Iraq,5,70001,1.28137593019823,1,27.0,1.0,2.0,2.0,1.0,2,1,2.0,2,3.0,4.0,2.0,2.0,2.0,2,2,1.0,2.0,3.0,8,3.0,7.0
83429042,506,Iraq,5,70001,0.814810655387298,1,37.0,2.0,2.0,2.0,2.0,4,2,4.0,4,4.0,4.0,2.0,4.0,3.0,2,2,1.0,2.0,3.0,0,1.0,0.0
83277320,742,Iraq,5,70001,1.79392630227752,1,27.0,1.0,4.0,2.0,2.0,2,4,2.0,4,4.0,2.0,3.0,2.0,3.0,2,2,1.0,2.0,1.0,1,1.0,3.0
83719931,735,Iraq,5,70001,1.00918400517525,1,49.0,2.0,2.0,4.0,1.0,2,2,2.0,2,4.0,4.0,2.0,3.0,1.0,2,2,1.0,1.0,1.0,7,3.0,6.0
83610768,832,Iraq,5,70001,1.26927410259571,1,27.0,2.0,4.0,5.0,2.0,3,3,2.0,3,3.0,2.0,2.0,2.0,2.0,2,2,2.0,3.0,1.0,5,3.0,7.0
84634914,544,Iraq,5,70001,1.2110208062103,1,53.0,2.0,1.0,4.0,2.0,3,3,3.0,3,3.0,3.0,2.0,3.0,2.0,2,2,2.0,3.0,1.0,0,3.0,0.0
83899889,129,Iraq,5,70001,0.512550372079291,1,34.0,1.0,2.0,7.0,2.0,4,4,2.0,4,4.0,4.0,2.0,4.0,4.0,2,2,2.0,1.0,98.0,5,1.0,3.0
83830065,673,Iraq,5,70001,1.22221598308095,1,38.0,2.0,2.0,4.0,2.0,3,3,3.0,2,3.0,3.0,3.0,3.0,2.0,2,2,1.0,3.0,3.0,0,3.0,0.0
