id,psu,country,wave,q1,wt,stratum,Q1001,Q1002,Q1003,Q1005,Q100,Q101,Q102,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q209B,Q501,Q501A,Q266,Q263,Q516A,Q512,Q515A2,Q511
128,16,Jordan,5,80011,1.4756424089282398,1,42.0,2.0,3.0,4.0,2.0,3,3,2.0,2,3.0,3.0,2.0,3.0,2.0,2,2,1.0,2.0,1.0,6,3.0,5.0
681,86,Jordan,5,80011,0.299102564309909,1,68.0,1.0,3.0,2.0,1.0,2,2,2.0,2,2.0,2.0,2.0,2.0,2.0,2,2,1.0,2.0,3.0,7,3.0,7.0
644,81,Jordan,5,80011,0.88816398867452,1,53.0,2.0,6.0,3.0,2.0,4,4,2.0,4,4.0,4.0,4.0,4.0,4.0,2,2,1.0,1.0,2.0,1,1.0,2.0
858,108,Jordan,5,80011,0.737821204464121,1,44.0,2.0,4.0,4.0,2.0,4,2,2.0,2,4.0,4.0,97.0,4.0,2.0,2,2,1.0,2.0,3.0,7,3.0,8.0
658,83,Jordan,5,80011,0.33547359299421003,1,55.0,2.0,3.0,4.0,2.0,3,2,3.0,3,3.0,3.0,2.0,3.0,3.0,2,1,1.0,1.0,2.0,7,3.0,5.0
824,103,Jordan,5,80011,2.0128414856971597,1,63.0,2.0,4.0,4.0,2.0,3,4,2.0,2,4.0,4.0,2.0,4.0,4.0,2,2,1.0,1.0,3.0,4,3.0,3.0
909,114,Jordan,5,80011,2.88298655867806,2,24.0,1.0,6.0,1.0,1.0,2,3,2.0,2,3.0,3.0,2.0,3.0,2.0,1,2,1.0,2.0,3.0,7,2.0,8.0
487,61,Jordan,5,80011,0.598205128619818,1,62.0,1.0,6.0,3.0,2.0,3,1,3.0,3,3.0,3.0,3.0,3.0,4.0,2,1,1.0,3.0,3.0,6,2.0,1.0
532,67,Jordan,5,80011,0.88816398867452,1,51.0,2.0,1.0,4.0,3.0,4,4,2.0,2,4.0,4.0,1.0,4.0,2.0,2,2,2.0,2.0,98.0,0,98.0,0.0
36,5,Jordan,5,80011,1.4756424089282398,1,42.0,2.0,4.0,4.0,2.0,4,2,3.0,3,3.0,3.0,1.0,3.0,3.0,2,2,1.0,2.0,3.0,5,1.0,5.0
9,2,Jordan,5,80011,1.15319464831347,1,20.0,1.0,2.0,1.0,3.0,4,2,3.0,4,4.0,4.0,1.0,4.0,3.0,2,2,2.0,3.0,3.0,1,3.0,6.0
875,110,Jordan,5,80011,0.657828868996116,1,40.0,1.0,3.0,1.0,2.0,3,5,2.0,2,2.0,2.0,2.0,3.0,3.0,2,2,2.0,2.0,1.0,7,1.0,7.0
13,2,Jordan,5,80011,0.299102564309909,1,55.0,1.0,2.0,3.0,2.0,4,5,2.0,2,4.0,4.0,1.0,4.0,4.0,2,2,2.0,2.0,3.0,5,3.0,6.0
216,27,Jordan,5,80011,1.8030794569817599,1,26.0,2.0,6.0,6.0,2.0,4,5,2.0,2,4.0,4.0,2.0,4.0,2.0,2,2,2.0,1.0,2.0,0,4.0,5.0
774,97,Jordan,5,80011,2.70461908836729,1,31.0,2.0,6.0,2.0,2.0,3,3,2.0,2,3.0,3.0,3.0,3.0,3.0,2,2,1.0,3.0,3.0,4,1.0,4.0
447,56,Jordan,5,80011,0.657828868996116,1,35.0,1.0,3.0,1.0,2.0,2,2,1.0,1,4.0,4.0,1.0,4.0,2.0,2,2,2.0,3.0,3.0,7,3.0,7.0
131,17,Jordan,5,80011,1.72979191036459,1,22.0,1.0,1.0,6.0,2.0,4,5,1.0,2,4.0,4.0,1.0,4.0,1.0,2,2,1.0,2.0,3.0,10,3.0,0.0
889,112,Jordan,5,80011,1.3156577379922298,1,42.0,1.0,3.0,3.0,2.0,4,4,3.0,3,3.0,3.0,3.0,4.0,3.0,1,1,1.0,2.0,2.0,0,2.0,0.0
61,8,Jordan,5,80011,0.299102564309909,1,62.0,1.0,6.0,6.0,1.0,2,3,2.0,2,2.0,2.0,1.0,2.0,2.0,2,2,2.0,3.0,3.0,10,4.0,10.0
553,70,Jordan,5,80011,2.88298655867806,1,23.0,1.0,2.0,1.0,1.0,3,2,1.0,1,3.0,2.0,1.0,3.0,2.0,2,2,2.0,3.0,1.0,5,2.0,5.0
836,105,Jordan,5,80011,0.44408199433726,1,48.0,2.0,3.0,2.0,2.0,4,5,4.0,2,3.0,3.0,3.0,3.0,3.0,2,2,1.0,2.0,3.0,0,3.0,1.0
