id,psu,country,wave,q1,wt,stratum,Q1001,Q1002,Q1003,Q1005,Q100,Q101,Q102,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q209B,Q501,Q501A,Q266,Q263,Q516A,Q512,Q515A2,Q511
233,24,Lebanon,5,100002,0.7258681924580771,3,41.0,1.0,3.0,2.0,2.0,3,4,3.0,3,3.0,3.0,3.0,3.0,2.0,2,2,2.0,3.0,3.0,9,3.0,7.0
68,7,Lebanon,5,100001,0.734425754944841,1,36.0,2.0,3.0,4.0,2.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,2.0,2.0,2.0,5,3.0,7.0
314,32,Lebanon,5,100002,0.4856016856649771,3,33.0,2.0,4.0,2.0,2.0,3,5,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,2.0,2.0,2.0,8,3.0,7.0
349,35,Lebanon,5,100002,0.471997807622674,3,26.0,1.0,2.0,2.0,2.0,3,5,3.0,3,3.0,3.0,2.0,4.0,3.0,2,2,2.0,3.0,2.0,8,3.0,6.0
1521,153,Lebanon,5,100006,0.38308634898571603,14,28.0,1.0,5.0,1.0,2.0,2,5,2.0,3,3.0,4.0,4.0,3.0,3.0,2,2,2.0,3.0,3.0,4,4.0,5.0
2147,215,Lebanon,5,100007,0.41706590561279794,18,33.0,1.0,4.0,1.0,2.0,3,5,3.0,3,2.0,4.0,3.0,4.0,1.0,98,2,2.0,4.0,3.0,7,2.0,3.0
403,41,Lebanon,5,100002,2.8319867499891798,3,31.0,1.0,2.0,2.0,3.0,4,98,4.0,3,4.0,4.0,4.0,4.0,3.0,2,2,2.0,3.0,1.0,96,3.0,96.0
995,100,Lebanon,5,100005,0.538941719567403,11,45.0,1.0,2.0,2.0,2.0,4,3,4.0,4,4.0,4.0,3.0,4.0,4.0,2,2,2.0,3.0,3.0,10,3.0,1.0
287,29,Lebanon,5,100002,0.7576014651356469,3,70.0,1.0,2.0,2.0,3.0,4,98,3.0,4,4.0,4.0,4.0,4.0,3.0,2,2,2.0,3.0,1.0,96,3.0,96.0
975,98,Lebanon,5,100005,1.0790678358349202,11,18.0,1.0,4.0,5.0,2.0,4,3,2.0,2,4.0,4.0,2.0,4.0,4.0,2,2,2.0,3.0,3.0,10,3.0,1.0
