id,psu,country,wave,q1,wt,stratum,Q1001,Q1002,Q1003,Q1005,Q100,Q101,Q102,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q209B,Q501,Q501A,Q266,Q263,Q516A,Q512,Q515A2,Q511
1,1,Morocco,5,130001,0.8407776951789859,1,28.0,1.0,5.0,6.0,2.0,3,5,3.0,4,4.0,4.0,4.0,4.0,4.0,2,2,1.0,3.0,3.0,10,3.0,0.0
2,1,Morocco,5,130001,0.8407776951789859,1,51.0,2.0,1.0,4.0,2.0,3,2,3.0,4,2.0,4.0,3.0,3.0,2.0,2,2,2.0,3.0,2.0,6,2.0,2.0
3,1,Morocco,5,130001,0.42038884758949296,1,67.0,1.0,4.0,3.0,2.0,4,98,2.0,4,4.0,3.0,4.0,3.0,3.0,2,2,1.0,2.0,3.0,10,1.0,5.0
4,1,Morocco,5,130001,1.2611665725708001,1,19.0,2.0,4.0,5.0,2.0,4,3,3.0,3,4.0,3.0,2.0,4.0,4.0,2,2,2.0,3.0,1.0,7,4.0,4.0
5,1,Morocco,5,130001,1.2611665725708001,1,25.0,1.0,5.0,5.0,3.0,3,4,3.0,4,4.0,98.0,3.0,3.0,2.0,98,2,2.0,1.0,3.0,8,3.0,4.0
6,1,Morocco,5,130001,0.8407776951789859,1,34.0,2.0,3.0,6.0,2.0,3,2,3.0,2,2.0,98.0,3.0,2.0,2.0,1,2,1.0,3.0,3.0,10,1.0,1.0
7,1,Morocco,5,130001,0.42038884758949296,1,38.0,1.0,5.0,7.0,1.0,2,98,4.0,4,3.0,4.0,3.0,4.0,2.0,2,2,2.0,98.0,3.0,10,2.0,0.0
8,1,Morocco,5,130001,0.8407776951789859,1,68.0,2.0,2.0,4.0,2.0,3,4,4.0,4,4.0,3.0,3.0,4.0,3.0,2,2,2.0,98.0,2.0,96,1.0,96.0
9,2,Morocco,5,130001,0.42038884758949296,1,62.0,1.0,2.0,4.0,2.0,3,5,4.0,3,3.0,4.0,3.0,3.0,3.0,2,2,2.0,3.0,1.0,4,4.0,3.0
10,2,Morocco,5,130001,0.8407776951789859,1,26.0,2.0,3.0,4.0,2.0,4,2,4.0,3,4.0,4.0,2.0,3.0,3.0,1,2,2.0,98.0,3.0,8,1.0,3.0
11,2,Morocco,5,130001,0.8407776951789859,1,35.0,1.0,3.0,2.0,2.0,3,2,2.0,3,3.0,97.0,2.0,3.0,2.0,1,1,1.0,2.0,1.0,6,1.0,3.0
12,2,Morocco,5,130001,1.68155539035797,1,49.0,2.0,2.0,4.0,2.0,3,2,3.0,2,3.0,3.0,4.0,3.0,3.0,2,2,1.0,3.0,3.0,9,1.0,7.0
13,2,Morocco,5,130001,1.68155539035797,1,21.0,1.0,4.0,5.0,98.0,3,5,4.0,4,98.0,98.0,2.0,3.0,2.0,2,2,2.0,3.0,1.0,96,2.0,96.0
14,2,Morocco,5,130001,0.42038884758949296,1,29.0,2.0,5.0,1.0,2.0,4,4,4.0,2,3.0,4.0,4.0,98.0,4.0,2,2,1.0,1.0,3.0,10,1.0,4.0
15,2,Morocco,5,130001,0.8407776951789859,1,24.0,1.0,7.0,6.0,2.0,2,1,3.0,4,4.0,3.0,3.0,4.0,3.0,1,1,2.0,98.0,98.0,1,1.0,0.0
16,2,Morocco,5,130001,1.2611665725708001,1,28.0,2.0,7.0,6.0,2.0,4,5,4.0,4,4.0,4.0,3.0,4.0,4.0,1,1,1.0,1.0,3.0,3,1.0,5.0
17,3,Morocco,5,130001,0.8407776951789859,1,53.0,1.0,2.0,1.0,1.0,2,3,1.0,1,2.0,98.0,1.0,2.0,98.0,1,2,1.0,1.0,3.0,9,4.0,9.0
18,3,Morocco,5,130001,1.2611665725708001,1,24.0,2.0,5.0,5.0,2.0,4,2,4.0,4,4.0,4.0,2.0,4.0,1.0,2,2,2.0,2.0,3.0,7,2.0,0.0
19,3,Morocco,5,130001,1.2611665725708001,1,51.0,1.0,3.0,2.0,1.0,2,2,4.0,2,3.0,3.0,1.0,3.0,3.0,2,2,1.0,2.0,3.0,10,1.0,7.0
20,3,Morocco,5,130001,0.8407776951789859,1,30.0,2.0,4.0,6.0,2.0,3,98,1.0,3,4.0,4.0,3.0,4.0,2.0,2,2,2.0,4.0,1.0,6,4.0,5.0
21,3,Morocco,5,130001,0.42038884758949296,1,42.0,1.0,2.0,7.0,3.0,2,2,3.0,3,4.0,97.0,2.0,3.0,3.0,2,2,2.0,2.0,3.0,6,98.0,0.0
22,3,Morocco,5,130001,0.8407776951789859,1,65.0,2.0,1.0,4.0,1.0,3,98,2.0,3,3.0,97.0,2.0,3.0,4.0,2,2,2.0,1.0,98.0,98,98.0,96.0
23,3,Morocco,5,130001,0.42038884758949296,1,36.0,1.0,2.0,2.0,3.0,3,98,3.0,4,4.0,3.0,2.0,4.0,3.0,2,2,2.0,3.0,3.0,7,3.0,2.0
24,3,Morocco,5,130001,0.42038884758949296,1,48.0,2.0,4.0,6.0,2.0,3,3,3.0,3,3.0,3.0,4.0,3.0,2.0,2,2,1.0,2.0,2.0,4,3.0,1.0
25,4,Morocco,5,130001,1.68155539035797,1,20.0,1.0,4.0,5.0,2.0,4,3,4.0,3,3.0,4.0,2.0,3.0,3.0,2,2,2.0,2.0,3.0,8,1.0,4.0
26,4,Morocco,5,130001,0.42038884758949296,1,44.0,2.0,3.0,4.0,1.0,2,1,3.0,3,2.0,3.0,1.0,2.0,2.0,2,1,1.0,1.0,2.0,6,3.0,6.0
27,4,Morocco,5,130001,1.2611665725708001,1,72.0,1.0,1.0,2.0,1.0,2,3,2.0,3,97.0,98.0,1.0,2.0,98.0,2,2,1.0,1.0,98.0,98,1.0,98.0
28,4,Morocco,5,130001,0.42038884758949296,1,65.0,2.0,2.0,4.0,2.0,3,2,3.0,2,3.0,2.0,4.0,1.0,1.0,2,2,1.0,4.0,1.0,10,3.0,9.0
29,4,Morocco,5,130001,1.2611665725708001,1,19.0,1.0,4.0,5.0,2.0,3,98,3.0,98,3.0,98.0,2.0,3.0,98.0,2,2,2.0,98.0,3.0,10,3.0,4.0
30,4,Morocco,5,130001,1.68155539035797,1,20.0,2.0,5.0,5.0,3.0,3,1,3.0,3,4.0,98.0,4.0,3.0,3.0,2,2,2.0,3.0,3.0,10,4.0,6.0
31,4,Morocco,5,130001,1.2611665725708001,1,26.0,1.0,7.0,6.0,2.0,2,3,4.0,4,4.0,4.0,2.0,4.0,3.0,1,1,2.0,98.0,3.0,6,3.0,0.0
32,4,Morocco,5,130001,0.8407776951789859,1,51.0,2.0,2.0,4.0,3.0,3,3,1.0,3,3.0,97.0,2.0,3.0,98.0,2,2,2.0,98.0,98.0,3,1.0,5.0
33,5,Morocco,5,130001,1.2611665725708001,1,23.0,1.0,6.0,6.0,2.0,3,3,3.0,4,3.0,3.0,4.0,3.0,4.0,2,2,2.0,4.0,1.0,6,1.0,3.0
34,5,Morocco,5,130001,0.8407776951789859,1,41.0,2.0,2.0,4.0,1.0,3,2,4.0,3,2.0,2.0,2.0,3.0,2.0,1,2,1.0,2.0,3.0,9,1.0,6.0
35,5,Morocco,5,130001,0.42038884758949296,1,18.0,1.0,4.0,5.0,2.0,2,2,3.0,2,3.0,3.0,2.0,4.0,3.0,2,98,98.0,2.0,3.0,4,2.0,2.0
36,5,Morocco,5,130001,0.8407776951789859,1,30.0,2.0,1.0,4.0,2.0,3,2,3.0,99,3.0,3.0,4.0,4.0,2.0,2,2,2.0,3.0,2.0,9,2.0,0.0
37,5,Morocco,5,130001,0.8407776951789859,1,29.0,1.0,4.0,2.0,98.0,4,98,4.0,4,4.0,98.0,98.0,3.0,98.0,2,2,1.0,2.0,3.0,10,4.0,6.0
38,5,Morocco,5,130001,0.8407776951789859,1,20.0,2.0,5.0,5.0,2.0,98,98,4.0,4,98.0,3.0,4.0,4.0,98.0,2,2,2.0,3.0,3.0,98,2.0,2.0
39,5,Morocco,5,130001,0.8407776951789859,1,27.0,1.0,6.0,6.0,3.0,2,98,3.0,4,3.0,3.0,2.0,3.0,2.0,1,1,2.0,3.0,2.0,0,98.0,8.0
40,5,Morocco,5,130001,1.2611665725708001,1,21.0,2.0,4.0,5.0,2.0,3,3,3.0,3,4.0,3.0,2.0,3.0,4.0,2,2,2.0,2.0,3.0,5,2.0,5.0
41,6,Morocco,5,130001,1.2611665725708001,1,26.0,1.0,5.0,6.0,2.0,3,3,3.0,4,3.0,4.0,2.0,3.0,3.0,2,1,2.0,3.0,3.0,8,1.0,4.0
42,6,Morocco,5,130001,0.8407776951789859,1,44.0,2.0,3.0,4.0,1.0,4,2,1.0,2,3.0,2.0,1.0,3.0,2.0,2,1,1.0,2.0,2.0,6,3.0,5.0
43,6,Morocco,5,130001,1.68155539035797,1,31.0,1.0,5.0,1.0,2.0,4,4,4.0,4,4.0,4.0,3.0,3.0,2.0,2,1,1.0,2.0,3.0,10,1.0,2.0
44,6,Morocco,5,130001,0.8407776951789859,1,65.0,2.0,2.0,4.0,1.0,2,2,2.0,2,3.0,2.0,3.0,2.0,3.0,2,2,1.0,3.0,2.0,6,4.0,5.0
45,6,Morocco,5,130001,1.2611665725708001,1,23.0,1.0,4.0,6.0,3.0,3,2,4.0,4,3.0,98.0,2.0,4.0,2.0,2,2,1.0,2.0,3.0,8,1.0,4.0
46,6,Morocco,5,130001,0.8407776951789859,1,30.0,2.0,5.0,1.0,1.0,2,2,4.0,4,98.0,3.0,3.0,98.0,2.0,1,1,99.0,1.0,3.0,9,4.0,7.0
47,6,Morocco,5,130001,0.42038884758949296,1,58.0,1.0,2.0,7.0,1.0,3,3,3.0,4,4.0,3.0,2.0,4.0,3.0,2,2,2.0,98.0,98.0,96,1.0,96.0
48,6,Morocco,5,130001,0.42038884758949296,1,28.0,2.0,6.0,4.0,1.0,2,2,3.0,3,2.0,2.0,1.0,2.0,2.0,2,2,2.0,2.0,98.0,2,1.0,96.0
49,7,Morocco,5,130001,0.8407776951789859,1,30.0,1.0,6.0,1.0,1.0,2,1,2.0,3,2.0,2.0,4.0,2.0,3.0,2,2,1.0,1.0,1.0,5,1.0,5.0
50,7,Morocco,5,130001,0.8407776951789859,1,39.0,2.0,4.0,4.0,2.0,3,3,3.0,4,3.0,3.0,2.0,3.0,3.0,1,1,1.0,1.0,3.0,9,1.0,4.0
51,7,Morocco,5,130001,0.42038884758949296,1,26.0,1.0,5.0,2.0,2.0,4,3,3.0,4,4.0,1.0,2.0,3.0,2.0,2,2,2.0,1.0,1.0,7,2.0,5.0
52,7,Morocco,5,130001,1.2611665725708001,1,18.0,2.0,4.0,5.0,3.0,2,3,2.0,2,3.0,2.0,98.0,2.0,2.0,2,2,2.0,1.0,3.0,10,1.0,8.0
53,7,Morocco,5,130001,0.42038884758949296,1,26.0,1.0,7.0,2.0,1.0,1,2,4.0,2,3.0,2.0,1.0,1.0,3.0,1,1,1.0,2.0,3.0,9,2.0,2.0
54,7,Morocco,5,130001,0.8407776951789859,1,35.0,2.0,1.0,6.0,2.0,3,3,3.0,3,4.0,3.0,3.0,2.0,98.0,2,2,2.0,1.0,1.0,10,3.0,0.0
55,7,Morocco,5,130001,0.8407776951789859,1,33.0,1.0,3.0,6.0,2.0,3,5,4.0,4,4.0,4.0,3.0,4.0,3.0,2,2,2.0,4.0,98.0,96,3.0,96.0
56,7,Morocco,5,130001,0.8407776951789859,1,40.0,2.0,1.0,4.0,1.0,2,2,2.0,3,3.0,4.0,1.0,3.0,2.0,2,2,1.0,2.0,3.0,8,2.0,0.0
57,8,Morocco,5,130001,0.42038884758949296,1,68.0,1.0,2.0,3.0,1.0,2,1,3.0,3,2.0,2.0,1.0,2.0,2.0,2,2,1.0,2.0,1.0,8,4.0,6.0
58,8,Morocco,5,130001,0.8407776951789859,1,45.0,2.0,6.0,1.0,1.0,3,2,2.0,2,3.0,3.0,2.0,4.0,2.0,1,1,1.0,1.0,3.0,10,1.0,4.0
59,8,Morocco,5,130001,2.10194420814514,1,28.0,1.0,5.0,1.0,2.0,3,2,3.0,2,4.0,2.0,2.0,97.0,2.0,2,2,2.0,3.0,3.0,10,2.0,8.0
60,8,Morocco,5,130001,0.8407776951789859,1,20.0,2.0,5.0,5.0,1.0,3,4,4.0,3,2.0,3.0,1.0,4.0,3.0,1,2,1.0,2.0,3.0,10,1.0,6.0
61,8,Morocco,5,130001,0.42038884758949296,1,33.0,1.0,7.0,6.0,3.0,4,2,4.0,4,3.0,3.0,2.0,4.0,3.0,1,1,1.0,3.0,2.0,6,3.0,9.0
62,8,Morocco,5,130001,1.2611665725708001,1,75.0,2.0,1.0,4.0,2.0,2,3,2.0,4,98.0,3.0,4.0,2.0,98.0,2,2,1.0,2.0,1.0,98,98.0,96.0
