id,psu,country,wave,q1,wt,stratum,Q1001,Q1002,Q1003,Q1005,Q100,Q101,Q102,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q209B,Q501,Q501A,Q266,Q263,Q516A,Q512,Q515A2,Q511
1,1,Palestine,5,150007,1.4914801402683602,17,54.0,1.0,6.0,2.0,2.0,2,4,2.0,2,3.0,4.0,2.0,98.0,3.0,2,1,1.0,3.0,3.0,10,3.0,5.0
2,1,Palestine,5,150007,0.8948880841610171,17,56.0,2.0,2.0,4.0,2.0,3,3,2.0,3,4.0,3.0,3.0,3.0,2.0,2,2,2.0,3.0,98.0,7,4.0,6.0
3,1,Palestine,5,150007,2.17120253294481,17,29.0,1.0,6.0,2.0,2.0,2,2,4.0,2,4.0,4.0,2.0,4.0,3.0,2,1,1.0,2.0,2.0,9,2.0,0.0
4,1,Palestine,5,150007,1.13349543999325,17,20.0,2.0,4.0,4.0,1.0,2,3,2.0,2,4.0,3.0,2.0,3.0,2.0,2,2,2.0,3.0,3.0,6,3.0,5.0
5,1,Palestine,5,150007,1.4914801402683602,17,36.0,1.0,3.0,2.0,2.0,3,3,2.0,2,4.0,4.0,2.0,3.0,3.0,2,2,2.0,2.0,3.0,8,2.0,4.0
6,1,Palestine,5,150007,1.4914801402683602,17,56.0,2.0,6.0,4.0,2.0,2,3,2.0,2,4.0,3.0,2.0,3.0,2.0,2,2,2.0,2.0,3.0,10,98.0,3.0
7,1,Palestine,5,150007,0.785465063639493,17,62.0,1.0,3.0,3.0,2.0,3,3,2.0,2,4.0,4.0,2.0,3.0,2.0,2,2,2.0,2.0,3.0,9,2.0,4.0
8,1,Palestine,5,150007,0.680114943962373,17,46.0,2.0,4.0,4.0,2.0,2,3,2.0,2,4.0,4.0,3.0,4.0,2.0,2,2,2.0,3.0,3.0,8,4.0,1.0
9,1,Palestine,5,150007,1.13349543999325,17,19.0,1.0,4.0,5.0,2.0,4,3,1.0,2,3.0,3.0,3.0,3.0,2.0,2,2,2.0,2.0,3.0,10,2.0,1.0
10,2,Palestine,5,150007,0.9332981901829879,18,44.0,2.0,4.0,4.0,2.0,3,4,2.0,2,3.0,3.0,2.0,4.0,3.0,2,2,2.0,3.0,3.0,6,3.0,4.0
11,2,Palestine,5,150007,1.35863652475688,18,29.0,1.0,6.0,2.0,2.0,2,2,2.0,2,4.0,98.0,98.0,3.0,2.0,1,1,1.0,1.0,3.0,8,3.0,5.0
12,2,Palestine,5,150007,0.49150712943103797,18,72.0,2.0,1.0,4.0,2.0,3,98,2.0,3,4.0,4.0,2.0,4.0,3.0,2,2,2.0,3.0,3.0,7,3.0,5.0
13,2,Palestine,5,150007,0.9332981901829879,18,52.0,1.0,6.0,2.0,2.0,3,5,2.0,2,4.0,3.0,2.0,4.0,3.0,1,1,1.0,3.0,3.0,6,3.0,6.0
14,2,Palestine,5,150007,1.35863652475688,18,23.0,2.0,4.0,4.0,3.0,3,2,2.0,2,4.0,97.0,3.0,3.0,98.0,2,2,1.0,2.0,98.0,96,3.0,96.0
15,2,Palestine,5,150007,0.559978914109793,18,55.0,1.0,5.0,2.0,2.0,2,2,2.0,2,4.0,3.0,3.0,3.0,3.0,2,2,98.0,1.0,1.0,7,3.0,4.0
16,2,Palestine,5,150007,1.35863652475688,18,24.0,2.0,4.0,4.0,3.0,3,3,2.0,2,4.0,3.0,2.0,4.0,3.0,2,2,2.0,3.0,3.0,9,3.0,8.0
17,2,Palestine,5,150007,1.18010861776392,18,74.0,1.0,3.0,2.0,2.0,2,5,2.0,2,4.0,4.0,3.0,4.0,3.0,2,2,1.0,3.0,3.0,5,4.0,3.0
18,2,Palestine,5,150007,0.7092881857186659,18,20.0,2.0,4.0,5.0,2.0,2,2,2.0,2,4.0,98.0,3.0,3.0,3.0,2,2,1.0,2.0,1.0,6,3.0,1.0
19,3,Palestine,5,150007,0.49150712943103797,18,66.0,1.0,5.0,3.0,2.0,3,4,4.0,2,4.0,3.0,3.0,3.0,3.0,2,2,1.0,2.0,2.0,5,1.0,5.0
20,3,Palestine,5,150007,1.35863652475688,18,23.0,2.0,4.0,2.0,1.0,2,4,2.0,2,4.0,3.0,2.0,2.0,1.0,2,2,1.0,2.0,1.0,5,2.0,6.0
21,3,Palestine,5,150007,1.35863652475688,18,25.0,1.0,4.0,2.0,2.0,2,4,2.0,2,2.0,3.0,1.0,4.0,2.0,1,1,1.0,1.0,1.0,5,4.0,5.0
22,3,Palestine,5,150007,0.7092881857186659,18,22.0,2.0,6.0,4.0,98.0,3,4,3.0,4,3.0,3.0,2.0,3.0,2.0,2,2,1.0,2.0,2.0,7,2.0,7.0
23,3,Palestine,5,150007,0.294904277658623,18,88.0,1.0,4.0,3.0,98.0,2,4,2.0,2,4.0,2.0,2.0,2.0,2.0,2,2,1.0,2.0,3.0,7,3.0,6.0
24,3,Palestine,5,150007,0.9332981901829879,18,32.0,2.0,4.0,4.0,2.0,3,98,2.0,2,3.0,2.0,2.0,3.0,2.0,2,2,1.0,2.0,1.0,6,1.0,6.0
25,3,Palestine,5,150007,1.35863652475688,18,23.0,1.0,6.0,6.0,2.0,3,2,3.0,2,3.0,3.0,2.0,3.0,2.0,1,1,1.0,1.0,3.0,5,4.0,6.0
26,3,Palestine,5,150007,0.9332981901829879,18,48.0,2.0,4.0,4.0,1.0,2,98,3.0,2,1.0,2.0,2.0,2.0,2.0,1,2,1.0,2.0,3.0,6,3.0,4.0
27,3,Palestine,5,150007,0.7092881857186659,18,20.0,1.0,4.0,5.0,2.0,3,4,2.0,1,3.0,3.0,2.0,3.0,2.0,2,2,1.0,1.0,3.0,8,2.0,8.0
28,4,Palestine,5,150007,1.8859016177984198,17,60.0,2.0,2.0,4.0,2.0,3,2,2.0,3,4.0,4.0,4.0,3.0,3.0,2,2,1.0,2.0,2.0,96,3.0,98.0
29,4,Palestine,5,150007,1.13349543999325,17,18.0,1.0,4.0,5.0,2.0,1,2,2.0,2,2.0,2.0,1.0,4.0,2.0,2,2,1.0,1.0,2.0,7,98.0,7.0
