id,psu,country,wave,q1,wt,stratum,Q1001,Q1002,Q1003,Q1005,Q100,Q101,Q102,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q209B,Q501,Q501A,Q266,Q263,Q516A,Q512,Q515A2,Q511
222127,120,Yemen,5,220004,1.6348866055712,8,37.0,1.0,2.0,1.0,2.0,3,3,3.0,2,3.0,2.0,3.0,3.0,2.0,2,2,2.0,2.0,3.0,5,1.0,2.0
220076,15,Yemen,5,220010,0.9485797109726309,19,48.0,1.0,1.0,7.0,2.0,2,2,2.0,2,3.0,4.0,2.0,1.0,3.0,2,1,1.0,2.0,3.0,8,4.0,3.0
221742,47,Yemen,5,220007,1.13424757642328,13,50.0,2.0,1.0,4.0,2.0,4,1,2.0,4,3.0,4.0,4.0,4.0,1.0,2,2,2.0,1.0,2.0,8,1.0,3.0
221737,46,Yemen,5,220007,1.7759322887601299,13,39.0,1.0,2.0,1.0,1.0,2,1,1.0,1,1.0,1.0,1.0,2.0,4.0,1,1,1.0,1.0,2.0,0,1.0,10.0
220349,66,Yemen,5,220015,0.8214236265172289,29,56.0,2.0,1.0,4.0,1.0,3,2,2.0,2,3.0,3.0,3.0,3.0,3.0,2,2,2.0,2.0,3.0,8,4.0,6.0
221518,5,Yemen,5,220010,0.6968403392342021,19,58.0,2.0,1.0,4.0,1.0,3,2,3.0,2,3.0,2.0,4.0,3.0,1.0,2,2,1.0,3.0,1.0,7,3.0,8.0
220282,53,Yemen,5,220003,0.781415660299514,5,62.0,1.0,1.0,6.0,1.0,3,1,2.0,2,3.0,3.0,3.0,3.0,3.0,2,2,2.0,4.0,3.0,7,4.0,7.0
221174,217,Yemen,5,220018,0.36177987455994604,34,49.0,1.0,1.0,1.0,3.0,3,2,2.0,3,4.0,4.0,2.0,3.0,2.0,2,2,1.0,1.0,3.0,7,1.0,5.0
221611,23,Yemen,5,220010,0.6968403392342021,18,61.0,2.0,1.0,4.0,1.0,3,2,1.0,1,3.0,4.0,2.0,4.0,2.0,2,2,2.0,2.0,3.0,2,1.0,4.0
221715,42,Yemen,5,220007,1.27115985810032,13,49.0,1.0,1.0,1.0,2.0,4,5,1.0,2,4.0,3.0,4.0,3.0,3.0,2,1,2.0,1.0,3.0,7,1.0,0.0
222041,103,Yemen,5,220009,1.07260609001443,17,52.0,2.0,1.0,4.0,1.0,3,1,98.0,3,2.0,2.0,2.0,3.0,2.0,1,2,1.0,2.0,2.0,2,1.0,4.0
222209,136,Yemen,5,220019,0.825495278259754,36,70.0,1.0,1.0,3.0,1.0,2,1,3.0,3,3.0,2.0,3.0,2.0,2.0,2,2,1.0,2.0,1.0,8,1.0,5.0
220004,1,Yemen,5,220010,0.780954251216285,18,70.0,1.0,1.0,3.0,3.0,4,1,3.0,2,3.0,2.0,1.0,2.0,1.0,2,2,1.0,2.0,2.0,5,3.0,4.0
220930,173,Yemen,5,220013,0.7726331230429999,25,60.0,1.0,1.0,99.0,1.0,2,2,2.0,2,2.0,1.0,2.0,97.0,2.0,2,2,1.0,3.0,1.0,96,1.0,1.0
220020,4,Yemen,5,220010,1.653968513131,18,22.0,2.0,1.0,6.0,1.0,4,1,3.0,2,2.0,1.0,1.0,2.0,2.0,2,1,1.0,3.0,3.0,6,1.0,7.0
222767,239,Yemen,5,220012,0.570972359926339,23,61.0,2.0,3.0,4.0,3.0,4,2,3.0,2,4.0,3.0,2.0,4.0,2.0,2,1,1.0,1.0,3.0,9,4.0,6.0
222164,127,Yemen,5,220004,1.04416490529076,8,54.0,2.0,1.0,4.0,1.0,2,1,2.0,3,2.0,3.0,2.0,2.0,1.0,2,2,1.0,2.0,3.0,10,4.0,7.0
221605,21,Yemen,5,220010,1.653968513131,19,24.0,2.0,1.0,4.0,1.0,3,2,3.0,3,4.0,3.0,3.0,3.0,2.0,2,2,2.0,3.0,1.0,9,3.0,8.0
