Country,Question Number,Question Answer,Value,Total Respondents,Percentage
Yemen,Q204A_1,1,425,2400,0.177083333
Yemen,Q204A_1,2,921,2400,0.38375
Yemen,Q204A_1,3,700,2400,0.291666667
Yemen,Q204A_1,4,340,2400,0.141666667
Yemen,Q204A_1,98,13,2400,0.005416667
Yemen,Q204A_1,99,1,2400,0.000416667
Yemen,Q204A_2,1,340,2400,0.141666667
Yemen,Q204A_2,2,929,2400,0.387083333
Yemen,Q204A_2,3,699,2400,0.29125
Yemen,Q204A_2,4,425,2400,0.177083333
Yemen,Q204A_2,98,4,2400,0.001666667
Yemen,Q204A_2,99,3,2400,0.00125
Iraq,Q204A_1,1,81,2461,0.03291345
Iraq,Q204A_1,2,575,2461,0.23364486
Iraq,Q204A_1,3,708,2461,0.287687932
Iraq,Q204A_1,4,1090,2461,0.442909386
Iraq,Q204A_1,98,6,2461,0.002438033
Iraq,Q204A_1,99,1,2461,0.000406339
Iraq,Q204A_2,1,132,2461,0.053636733
Iraq,Q204A_2,2,690,2461,0.280373832
Iraq,Q204A_2,3,695,2461,0.282405526
Iraq,Q204A_2,4,937,2461,0.380739537
Iraq,Q204A_2,98,7,2461,0.002844372
Iraq,Q204A_2,99,0,2461,0
Egypt,Q204A_1,1,164,2400,0.068333333
Egypt,Q204A_1,2,818,2400,0.340833333
Egypt,Q204A_1,3,769,2400,0.320416667
Egypt,Q204A_1,4,552,2400,0.23
Egypt,Q204A_1,98,96,2400,0.04
Egypt,Q204A_1,99,1,2400,0.000416667
Egypt,Q204A_2,1,189,2400,0.07875
Egypt,Q204A_2,2,787,2400,0.327916667
Egypt,Q204A_2,3,810,2400,0.3375
Egypt,Q204A_2,4,603,2400,0.25125
Egypt,Q204A_2,98,9,2400,0.00375
Egypt,Q204A_2,99,2,2400,0.000833333
Tunisia,Q204A_1,1,57,2400,0.02375
Tunisia,Q204A_1,2,656,2400,0.273333333
Tunisia,Q204A_1,3,680,2400,0.283333333
Tunisia,Q204A_1,4,960,2400,0.4
Tunisia,Q204A_1,98,47,2400,0.019583333
Tunisia,Q204A_1,99,0,2400,0
Tunisia,Q204A_2,1,74,2400,0.030833333
Tunisia,Q204A_2,2,883,2400,0.367916667
Tunisia,Q204A_2,3,603,2400,0.25125
Tunisia,Q204A_2,4,812,2400,0.338333333
Tunisia,Q204A_2,98,26,2400,0.010833333
Tunisia,Q204A_2,99,2,2400,0.000833333
Palestine,Q204A_1,1,242,2493,0.097071801
Palestine,Q204A_1,2,1400,2493,0.561572403
Palestine,Q204A_1,3,641,2493,0.257119936
Palestine,Q204A_1,4,186,2493,0.074608905
Palestine,Q204A_1,98,21,2493,0.008423586
Palestine,Q204A_1,99,1,2493,0.000401123
Palestine,Q204A_2,1,139,2493,0.055756117
Palestine,Q204A_2,2,1161,2493,0.465703971
Palestine,Q204A_2,3,831,2493,0.333333333
Palestine,Q204A_2,4,351,2493,0.140794224
Palestine,Q204A_2,98,11,2493,0.004412355
Palestine,Q204A_2,99,0,2493,0
Jordan,Q204A_1,1,393,2400,0.16375
Jordan,Q204A_1,2,1071,2400,0.44625
Jordan,Q204A_1,3,486,2400,0.2025
Jordan,Q204A_1,4,439,2400,0.182916667
Jordan,Q204A_1,98,11,2400,0.004583333
Jordan,Q204A_1,99,0,2400,0
Jordan,Q204A_2,1,329,2400,0.137083333
Jordan,Q204A_2,2,1205,2400,0.502083333
Jordan,Q204A_2,3,451,2400,0.187916667
Jordan,Q204A_2,4,407,2400,0.169583333
Jordan,Q204A_2,98,8,2400,0.003333333
Jordan,Q204A_2,99,0,2400,0
Lebanon,Q204A_1,1,207,2400,0.08625
Lebanon,Q204A_1,2,786,2400,0.3275
Lebanon,Q204A_1,3,943,2400,0.392916667
Lebanon,Q204A_1,4,452,2400,0.188333333
Lebanon,Q204A_1,98,11,2400,0.004583333
Lebanon,Q204A_1,99,1,2400,0.000416667
Lebanon,Q204A_2,1,14,2400,0.005833333
Lebanon,Q204A_2,2,585,2400,0.24375
Lebanon,Q204A_2,3,1120,2400,0.466666667
Lebanon,Q204A_2,4,675,2400,0.28125
Lebanon,Q204A_2,98,4,2400,0.001666667
Lebanon,Q204A_2,99,2,2400,0.000833333
Morocco,Q204A_1,1,181,2400,0.075416667
Morocco,Q204A_1,2,594,2400,0.2475
Morocco,Q204A_1,3,743,2400,0.309583333
Morocco,Q204A_1,4,782,2400,0.325833333
Morocco,Q204A_1,98,97,2400,0.040416667
Morocco,Q204A_1,99,3,2400,0.00125
Morocco,Q204A_2,1,98,2400,0.040833333
Morocco,Q204A_2,2,367,2400,0.152916667
Morocco,Q204A_2,3,826,2400,0.344166667
Morocco,Q204A_2,4,1067,2400,0.444583333
Morocco,Q204A_2,98,38,2400,0.015833333
Morocco,Q204A_2,99,4,2400,0.001666667
Algeria,Q204A_1,1,56,2332,0.024013722
Algeria,Q204A_1,2,751,2332,0.322041166
Algeria,Q204A_1,3,939,2332,0.402658662
Algeria,Q204A_1,4,558,2332,0.239279588
Algeria,Q204A_1,98,28,2332,0.012006861
Algeria,Q204A_1,99,0,2332,0
Algeria,Q204A_2,1,31,2332,0.01329331
Algeria,Q204A_2,2,669,2332,0.286878216
Algeria,Q204A_2,3,982,2332,0.42109777
Algeria,Q204A_2,4,639,2332,0.274013722
Algeria,Q204A_2,98,8,2332,0.003430532
Algeria,Q204A_2,99,3,2332,0.001286449
Libya,Q204A_1,1,97,1962,0.049439348
Libya,Q204A_1,2,544,1962,0.277268094
Libya,Q204A_1,3,870,1962,0.443425076
Libya,Q204A_1,4,444,1962,0.226299694
Libya,Q204A_1,98,6,1962,0.003058104
Libya,Q204A_1,99,1,1962,0.000509684
Libya,Q204A_2,1,36,1962,0.018348624
Libya,Q204A_2,2,325,1962,0.165647299
Libya,Q204A_2,3,918,1962,0.467889908
Libya,Q204A_2,4,673,1962,0.343017329
Libya,Q204A_2,98,9,1962,0.004587156
Libya,Q204A_2,99,1,1962,0.000509684
Kuwait,Q204A_1,1,63,1374,0.045851528
Kuwait,Q204A_1,2,525,1374,0.38209607
Kuwait,Q204A_1,3,505,1374,0.367540029
Kuwait,Q204A_1,4,271,1374,0.197234352
Kuwait,Q204A_1,98,9,1374,0.006550218
Kuwait,Q204A_1,99,1,1374,0.000727802
Kuwait,Q204A_2,1,132,1374,0.096069869
Kuwait,Q204A_2,2,686,1374,0.499272198
Kuwait,Q204A_2,3,381,1374,0.277292576
Kuwait,Q204A_2,4,173,1374,0.125909753
Kuwait,Q204A_2,98,1,1374,0.000727802
Kuwait,Q204A_2,99,1,1374,0.000727802
