Country,Question Number,Question Answer ,Value,Total Respondents,Percentage
Yemen,Q209B,1,642,2400,0.2675
Yemen,Q209B,2,1288,2400,0.536666667
Yemen,Q209B,3,336,2400,0.14
Yemen,Q209B,4,109,2400,0.045416667
Yemen,Q209B,98,18,2400,0.0075
Yemen,Q209B,99,4,2400,0.001666667
Yemen,Q501,1,602,2400,0.250833333
Yemen,Q501,2,1790,2400,0.745833333
Yemen,Q501,98,5,2400,0.002083333
Yemen,Q501,99,3,2400,0.00125
Yemen,Q501A,1,677,2400,0.282083333
Yemen,Q501A,2,1706,2400,0.710833333
Yemen,Q501A,98,12,2400,0.005
Yemen,Q501A,99,5,2400,0.002083333
Yemen,Q266,1,1339,2400,0.557916667
Yemen,Q266,2,1042,2400,0.434166667
Yemen,Q266,98,8,2400,0.003333333
Yemen,Q266,99,9,2400,0.00375
Yemen,Q263,1,701,2400,0.292083333
Yemen,Q263,2,1069,2400,0.445416667
Yemen,Q263,3,569,2400,0.237083333
Yemen,Q263,4,36,2400,0.015
Yemen,Q263,98,12,2400,0.005
Yemen,Q263,99,13,2400,0.005416667
Iraq,Q209B,1,782,2461,0.317757009
Iraq,Q209B,2,962,2461,0.390898009
Iraq,Q209B,3,384,2461,0.156034132
Iraq,Q209B,4,288,2461,0.117025599
Iraq,Q209B,98,44,2461,0.017878911
Iraq,Q209B,99,1,2461,0.000406339
Iraq,Q501,1,187,2461,0.075985372
Iraq,Q501,2,2269,2461,0.921982934
Iraq,Q501,98,4,2461,0.001625356
Iraq,Q501,99,1,2461,0.000406339
Iraq,Q501A,1,229,2461,0.093051605
Iraq,Q501A,2,2220,2461,0.902072328
Iraq,Q501A,98,12,2461,0.004876067
Iraq,Q501A,99,0,2461,0
Iraq,Q266,1,1305,2461,0.530272247
Iraq,Q266,2,1140,2461,0.463226331
Iraq,Q266,98,11,2461,0.004469728
Iraq,Q266,99,5,2461,0.002031694
Iraq,Q263,1,476,2461,0.19341731
Iraq,Q263,2,1062,2461,0.431531898
Iraq,Q263,3,841,2461,0.341731004
Iraq,Q263,4,58,2461,0.023567655
Iraq,Q263,98,13,2461,0.005282406
