sentence,sentiment,polarity,subjectivity,country
"
Coordinates: 28°N 2°E﻿ / ﻿28°N 2°E﻿ / 28; 2
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Algeria
Algeria (/ælˈdʒɪəriə/ (listen) al-JEER-ee-ə) is a country in the Maghreb region of North Africa,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Algeria
"Pre-1962 Algeria has known many empires and dynasties, including ancient Numidians, Phoenicians, Carthaginians, Romans, Vandals, Byzantines, Umayyads, Abbasids, Idrisid, Aghlabid, Rustamid, Fatimids, Zirid, Hammadids, Almoravids, Almohads, Zayyanids, Spaniards, Ottomans and, finally, the French colonial empire","Sentiment(polarity=0.16666666666666666, subjectivity=0.5)",0.166666667,0.5,Algeria
Algeria is a regional and middle power,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Algeria
"Other forms of the name are: Arabic: الجزائر‎, romanized: al-Jazāʾir, Algerian Arabic: الدزاير‎, romanized: al-dzāyīr; French: Algérie)","Sentiment(polarity=-0.0625, subjectivity=0.1875)",-0.0625,0.1875,Algeria
"The country's name derives from the city of Algiers which in turn derives from the Arabic al-Jazāʾir (الجزائر, ""The Islands""),[13] a truncated form of the older Jazāʾir Banī Mazghanna (جزائر بني مزغنة, ""Islands of the Mazghanna Tribe""),[14][15][page needed][16][page needed] employed by medieval geographers such as al-Idrisi","Sentiment(polarity=0.05555555555555555, subjectivity=0.27777777777777773)",0.055555556,0.277777778,Algeria
"French Algeria (19th - 20th centuries)
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Algeria
"1990s
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Algeria
"2000s to present
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Algeria
"In the region of Ain Hanech (Saïda Province), early remnants (200,000 BC) of hominid occupation in North Africa were found","Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3,Algeria
The earliest blade industries in North Africa are called Iberomaurusian (located mainly in the Oran region),"Sentiment(polarity=0.16666666666666666, subjectivity=0.3333333333333333)",0.166666667,0.333333333,Algeria
"From their principal center of power at Carthage, the Carthaginians expanded and established small settlements along the North African coast; by 600 BC, a Phoenician presence existed at Tipasa, east of Cherchell, Hippo Regius (modern Annaba) and Rusicade (modern Skikda)","Sentiment(polarity=0.010000000000000009, subjectivity=0.22000000000000003)",0.01,0.22,Algeria
"As Carthaginian power grew, its impact on the indigenous population increased dramatically","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Algeria
"By the early 4th century BC, Berbers formed the single largest element of the Carthaginian army","Sentiment(polarity=0.01428571428571429, subjectivity=0.2571428571428571)",0.014285714,0.257142857,Algeria
In 146 BC the city of Carthage was destroyed,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Algeria
"After Masinissa's death in 148 BC, the Berber kingdoms were divided and reunited several times","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Algeria
"For several centuries Algeria was ruled by the Romans, who founded many colonies in the region","Sentiment(polarity=0.25, subjectivity=0.25)",0.25,0.25,Algeria
"
After negligible resistance from the locals, Muslim Arabs of the Umayyad Caliphate conquered Algeria in the early 8th century","Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3,Algeria
 Large numbers of the indigenous Berber people converted to Islam,"Sentiment(polarity=0.21428571428571427, subjectivity=0.42857142857142855)",0.214285714,0.428571429,Algeria
"During the Middle Ages, North Africa was home to many great scholars, saints and sovereigns including Judah Ibn Quraysh, the first grammarian to mention Semitic and Berber languages, the great Sufi masters Sidi Boumediene (Abu Madyan) and Sidi El Houari, and the Emirs Abd Al Mu'min and Yāghmūrasen","Sentiment(polarity=0.47000000000000003, subjectivity=0.4666666666666666)",0.47,0.466666667,Algeria
The Amazighs historically consisted of several tribes,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Algeria
Several Amazigh dynasties emerged during the Middle Ages in the Maghreb and other nearby lands,"Sentiment(polarity=-0.041666666666666664, subjectivity=0.125)",-0.041666667,0.125,Algeria
"There reigned in Ifriqiya, current Tunisia, a Berber family, Zirid, somehow recognising the suzerainty of the Fatimid caliph of Cairo","Sentiment(polarity=0.0, subjectivity=0.4)",0,0.4,Algeria
"Between the Nile and the Red Sea were living Bedouin tribes expelled from Arabia for their disruption and turbulent influence, both Banu Hilal and Banu Sulaym among others, whose presence disrupted farmers in the Nile Valley since the nomads would often loot","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Algeria
"Whole tribes set off with women, children, ancestors, animals and camping equipment","Sentiment(polarity=0.2, subjectivity=0.4)",0.2,0.4,Algeria
