sentence,sentiment,polarity,subjectivity,country
"
Coordinates: 26°N 30°E﻿ / ﻿26°N 30°E﻿ / 26; 30
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Egypt
"Egypt (/ˈiːdʒɪpt/ (listen) EE-jipt; Arabic: مِصر‎ Miṣr), officially the Arab Republic of Egypt, is a country spanning the northeast corner of Africa and southwest corner of Asia by a land bridge formed by the Sinai Peninsula","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Egypt
"Egypt has one of the longest histories of any country, tracing its heritage back to the 6th–4th millennia BCE","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Egypt
"From the 16th to the beginning of the 20th century, Egypt was ruled by foreign imperial powers: The Ottoman Empire and the British Empire","Sentiment(polarity=-0.041666666666666664, subjectivity=0.041666666666666664)",-0.041666667,0.041666667,Egypt
Islam is the official religion of Egypt and Arabic is its official language,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Egypt
"The sovereign state of Egypt is a transcontinental country  considered to be a regional power in North Africa, the Middle East and the Muslim world, and a middle power worldwide","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Egypt
"""Miṣr"" (Arabic pronunciation: [mesˤɾ]; ""مِصر"") is the Classical Quranic Arabic and modern official name of Egypt, while ""Maṣr"" (Egyptian Arabic pronunciation: [mɑsˤɾ]; مَصر) is the local pronunciation in Egyptian Arabic","Sentiment(polarity=-0.26, subjectivity=0.45999999999999996)",-0.26,0.46,Egypt
There is evidence of rock carvings along the Nile terraces and in desert oases,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Egypt
"By about 6000 BCE, a Neolithic culture rooted in the Nile Valley","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Egypt
A unified kingdom was founded c,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Egypt
The First Intermediate Period ushered in a time of political upheaval for about 150 years,"Sentiment(polarity=0.125, subjectivity=0.21666666666666667)",0.125,0.216666667,Egypt
The New Kingdom c,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.136363636,0.454545455,Egypt
"In 525 BCE, the powerful Achaemenid Persians, led by Cambyses II, began their conquest of Egypt, eventually capturing the pharaoh Psamtik III at the battle of Pelusium","Sentiment(polarity=0.3, subjectivity=1.0)",0.3,1,Egypt
The Thirtieth Dynasty was the last native ruling dynasty during the Pharaonic epoch,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0,0.066666667,Egypt
"The Ptolemaic Kingdom was a powerful Hellenistic state, extending from southern Syria in the east, to Cyrene to the west, and south to the frontier with Nubia","Sentiment(polarity=0.15, subjectivity=0.5)",0.15,0.5,Egypt
"The last ruler from the Ptolemaic line was Cleopatra VII, who committed suicide following the burial of her lover Mark Antony who had died in her arms (from a self-inflicted stab wound), after Octavian had captured Alexandria and her mercenary forces had fled","Sentiment(polarity=0.0, subjectivity=0.08333333333333334)",0,0.083333333,Egypt
Christianity was brought to Egypt by Saint Mark the Evangelist in the 1st century,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Egypt
"The Byzantines were able to regain control of the country after a brief Sasanian Persian invasion early in the 7th century amidst the Byzantine–Sasanian War of 602–628 during which they established a new short-lived province for ten years known as Sasanian Egypt, until 639–42, when Egypt was invaded and
conquered by the Islamic Empire by the Muslim Arabs","Sentiment(polarity=0.14727272727272728, subjectivity=0.3425757575757576)",0.147272727,0.342575758,Egypt
"In 639 an army of some 4,000 men were sent against Egypt by the second caliph, Umar, under the command of Amr ibn al-As","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Egypt
"The Arabs founded the capital of Egypt called Fustat, which was later burned down during the Crusades","Sentiment(polarity=-0.07777777777777779, subjectivity=0.14444444444444446)",-0.077777778,0.144444444,Egypt
"The Abbasid period was marked by new taxations, and the Copts revolted again in the fourth year of Abbasid rule","Sentiment(polarity=0.07878787878787878, subjectivity=0.3515151515151515)",0.078787879,0.351515152,Egypt
"Muslim rulers nominated by the Caliphate remained in control of Egypt for the next six centuries, with Cairo as the seat of the Fatimid Caliphate","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Egypt
"Egypt was conquered by the Ottoman Turks in 1517, after which it became a province of the Ottoman Empire","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Egypt
"Egypt was always a difficult province for the Ottoman Sultans to control, due in part to the continuing power and influence of the Mamluks, the Egyptian military caste who had ruled the country for centuries","Sentiment(polarity=-0.24166666666666667, subjectivity=0.4916666666666667)",-0.241666667,0.491666667,Egypt
Egypt remained semi-autonomous under the Mamluks until it was invaded by the French forces of Napoleon Bonaparte in 1798 (see French campaign in Egypt and Syria),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Egypt
"After the French were expelled, power was seized in 1805 by Muhammad Ali Pasha, an Albanian military commander of the Ottoman army in Egypt","Sentiment(polarity=-0.05, subjectivity=0.05)",-0.05,0.05,Egypt
