sentence,sentiment,polarity,subjectivity,country
"
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Iraq
"Coordinates: 33°N 44°E﻿ / ﻿33°N 44°E﻿ / 33; 44
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Iraq
"Iraq (/ɪˈræk/, /ɪˈrɑːk/ (listen) or /aɪˈræk/; Arabic: اَلْعِرَاق‎, al-ʿirāq; Kurdish: عێراق‎ Êraq), officially the Republic of Iraq (Arabic: جُمْهُورِيَّة ٱلْعِرَاقِ‎ Jumhūriyyah al-ʿIrāq; Kurdish: کۆماری عێراق‎ Komarî Êraq), is a country in Western Asia, bordered by Turkey to the north, Iran to the east, Kuwait to the southeast, Saudi Arabia to the south, Jordan to the southwest and Syria to the west","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Iraq
"Iraq has a coastline measuring 58 km (36 miles) on the northern Persian Gulf and encompasses the Mesopotamian Alluvial Plain, the northwestern end of the Zagros mountain range and the eastern part of the Syrian Desert","Sentiment(polarity=-0.21428571428571427, subjectivity=0.35714285714285715)",-0.214285714,0.357142857,Iraq
"The region between the Tigris and Euphrates rivers, historically known as Mesopotamia, is often referred to as the cradle of civilisation","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Iraq
The country today known as Iraq was a region of the Ottoman Empire until the partition of the Ottoman Empire in the 20th century,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Iraq
Iraq is a federal parliamentary republic consisting of 19 governorates (provinces) and one autonomous region (Kurdistan Region),"Sentiment(polarity=0.4, subjectivity=0.7)",0.4,0.7,Iraq
"
The Arabic name العراق al-ʿIrāq has been in use since before the 6th century","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Iraq
"During the medieval period, there was a region called ʿIrāq ʿArabī (""Arabian Iraq"") for Lower Mesopotamia and ʿIrāq ʿAjamī (""Persian Iraq""),[16] for the region now situated in Central and Western Iran","Sentiment(polarity=0.0, subjectivity=0.08333333333333333)",0,0.083333333,Iraq
"The term Sawad was also used in early Islamic times for the region of the alluvial plain of the Tigris and Euphrates rivers, contrasting it with the arid Arabian desert","Sentiment(polarity=-0.057142857142857134, subjectivity=0.32857142857142857)",-0.057142857,0.328571429,Iraq
The Arabic pronunciation is [ʕiˈrɑːq],"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Iraq
"In accordance with the 2005 Constitution, the official name of the state is the ""Republic of Iraq"" (Jumhūrīyyat al-'Irāq)","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Iraq
