sentence,sentiment,polarity,subjectivity,country
"
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Jordan
Jordan (Arabic: الأردن‎; tr,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Jordan
What is now Jordan has been inhabited by humans since the Paleolithic period,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Jordan
"Jordan is a relatively small, semi-arid, almost landlocked country with an area of 89,342 km2 (34,495 sq mi) and a population numbering 10 million, making it the 11th-most populous Arab country","Sentiment(polarity=-0.25, subjectivity=0.4)",-0.25,0.4,Jordan
"Jordan is classified as a country of ""high human development"" with an ""upper middle income"" economy","Sentiment(polarity=0.04, subjectivity=0.15999999999999998)",0.04,0.16,Jordan
Jordan takes its name from the Jordan River which forms much of the country's northwestern border,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,Jordan
"The oldest evidence of hominid habitation in Jordan dates back at least 200,000 years","Sentiment(polarity=-0.15, subjectivity=0.2)",-0.15,0.2,Jordan
Fortified towns and urban centers first emerged in the southern Levant early on in the Bronze Age (3600–1200 BC),"Sentiment(polarity=0.0875, subjectivity=0.15833333333333333)",0.0875,0.158333333,Jordan
"The Transjordanian kingdoms of Ammon, Edom and Moab were in continuous conflict with the neighbouring Hebrew kingdoms of Israel and Judah, centered west of the Jordan River","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Jordan
Alexander the Great's conquest of the Persian Empire in 332 BC introduced Hellenistic culture to the Middle East,"Sentiment(polarity=0.4, subjectivity=0.375)",0.4,0.375,Jordan
"Roman legions under Pompey conquered much of the Levant in 63 BC, inaugurating a period of Roman rule that lasted four centuries","Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,Jordan
"In 324 AD, the Roman Empire split, and the Eastern Roman Empire–later known as the Byzantine Empire–continued to control or influence the region until 636 AD","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Jordan
"In 629 AD, during the Battle of Mu'tah in what is today Al-Karak, the Byzantines and their Arab Christian clients, the Ghassanids, staved off an attack by a Muslim Rashidun force that marched northwards towards the Levant from the Hejaz (in modern-day Saudi Arabia)","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Jordan
"The Crusaders constructed several Crusader castles as part of the Lordship of Oultrejordain, including those of Montreal and Al-Karak","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Jordan
"In 1516, the Ottoman Caliphate's forces conquered Mamluk territory","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Jordan
"Only after Ibrahim Pasha's campaign did the Ottoman Empire try to solidify its presence in the Syria Vilayet, which Transjordan was part of","Sentiment(polarity=0.0, subjectivity=1.0)",0,1,Jordan
"Four centuries of stagnation during Ottoman rule came to an end during World War I by the 1916 Arab Revolt, driven by long-term resentment towards the Ottoman authorities and growing Arab nationalism","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Jordan
"The nascent Hashemite Kingdom over Greater Syria was forced to surrender to French troops on 24 July 1920 during the Battle of Maysalun;[75] the French occupied only the northern part of the Syrian Kingdom, leaving Transjordan in a period of interregnum","Sentiment(polarity=0.039999999999999994, subjectivity=0.33999999999999997)",0.04,0.34,Jordan
"The British High Commissioner, Herbert Samuel, travelled to Transjordan on 21 August 1920 to meet with Al-Salt's residents","Sentiment(polarity=0.08, subjectivity=0.26999999999999996)",0.08,0.27,Jordan
"Abdullah, the second son of Sharif Hussein, arrived from Hejaz by train in Ma'an in southern Transjordan on 21 November 1920 to redeem the Greater Syrian Kingdom his brother had lost","Sentiment(polarity=0.16666666666666666, subjectivity=0.16666666666666666)",0.166666667,0.166666667,Jordan
"In September 1922, the Council of the League of Nations recognised Transjordan as a state under the terms of the Transjordan memorandum","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Jordan
