sentence,sentiment,polarity,subjectivity,country
"
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"
Coordinates: 29°30′N 47°45′E﻿ / ﻿29","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"Kuwait (/kʊˈweɪt/ (listen);[6][7] Arabic: الكويت‎ al-Kuwait, Gulf Arabic pronunciation: [ɪl‿ɪkweːt] or [lɪkweːt]), officially the State of Kuwait (Arabic: دولة الكويت‎ Dawlat al-Kuwait), is a country in Western Asia","Sentiment(polarity=-0.375, subjectivity=0.5)",-0.375,0.5,Kuwait
Oil reserves were discovered in commercial quantities in 1938,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Kuwait is a constitutional sovereign state with a semi-democratic political system,"Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,Kuwait
"In 1613, the town of Kuwait was founded in modern-day Kuwait City","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"During the Persian siege of Basra in 1775–79, Iraqi merchants took refuge in Kuwait and were partly instrumental in the expansion of Kuwait's boat-building and trading activities","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Kuwait was the center of boat building in the Persian Gulf region,"Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1,Kuwait
"In the 1890s, Kuwait was threatened by the Ottoman Empire","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"Following the Kuwait–Najd War of 1919–20, Ibn Saud imposed a trade blockade against Kuwait from the years 1923 until 1937","Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,Kuwait
"The Great Depression harmed Kuwait's economy, starting in the late 1920s","Sentiment(polarity=0.16666666666666666, subjectivity=0.48333333333333334)",0.166666667,0.483333333,Kuwait
Historian Hanna Batatu explains how the British threatened to take the Kurdish area and Mosul out of Iraq provided that King Faisal granted Britain control of the oil in the region,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"With the end of the world war, and increasing need for oil across the world, Kuwait experienced a period of prosperity driven by oil and its liberal atmosphere","Sentiment(polarity=0.8, subjectivity=0.9)",0.8,0.9,Kuwait
"In the 1960s and 1970s, Kuwait was considered by some as the most developed country in the region","Sentiment(polarity=0.3, subjectivity=0.4)",0.3,0.4,Kuwait
"In the 1960s and 1970s, Kuwait's press was described as one of the freest in the world","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Kuwaiti society embraced liberal and Western attitudes throughout the 1960s and 1970s,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"In the early 1980s, Kuwait experienced a major economic crisis after the Souk Al-Manakh stock market crash and decrease in oil price","Sentiment(polarity=0.290625, subjectivity=0.475)",0.290625,0.475,Kuwait
"During the Iran–Iraq War, Kuwait supported Iraq","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"After the Iran–Iraq War ended, Kuwait declined an Iraqi request to forgive its US$65 billion debt","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"In August 1990, Iraqi forces invaded and annexed Kuwait","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"In March 2003, Kuwait became the springboard for the US-led invasion of Iraq","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"From 2001 to 2009, Kuwait had the highest Human Development Index ranking in the Arab world","Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,Kuwait
"The Amiri Diwan is currently developing the new Kuwait National Cultural District (KNCD), which comprises Sheikh Abdullah Al Salem Cultural Centre, Sheikh Jaber Al Ahmad Cultural Centre, Al Shaheed Park, and Al Salam Palace","Sentiment(polarity=0.08727272727272728, subjectivity=0.2309090909090909)",0.087272727,0.230909091,Kuwait
"Kuwaiti popular culture, in the form of theatre, radio, music, and television soap opera, flourishes and is even exported to neighboring states","Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9,Kuwait
Kuwaiti society is markedly more open than other Persian Gulf Arab societies,"Sentiment(polarity=0.125, subjectivity=0.4583333333333333)",0.125,0.458333333,Kuwait
Kuwait's television drama industry tops other Persian Gulf drama industries and produces a minimum of fifteen serials annually,"Sentiment(polarity=-0.125, subjectivity=0.375)",-0.125,0.375,Kuwait
Kuwait is known for its home-grown tradition of theatre,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Kuwait is the main centre of scenographic and theatrical training in the Persian Gulf region,"Sentiment(polarity=0.08333333333333333, subjectivity=0.16666666666666666)",0.083333333,0.166666667,Kuwait
"Theatre in Kuwait is subsidized by the government, previously by the Ministry of Social Affairs and now by the National Council for Culture, Arts, and Letters (NCCAL)","Sentiment(polarity=-0.06666666666666667, subjectivity=0.11666666666666667)",-0.066666667,0.116666667,Kuwait
Kuwait has the oldest modern arts movement in the Arabian Peninsula,"Sentiment(polarity=0.2, subjectivity=0.3)",0.2,0.3,Kuwait
Kuwait is home to more than 30 art galleries,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,Kuwait
"The government organizes various arts festivals, including the Al Qurain Cultural Festival and Formative Arts Festival","Sentiment(polarity=0.05, subjectivity=0.3)",0.05,0.3,Kuwait
"Kuwait is the birthplace of various popular musical genres, such as sawt","Sentiment(polarity=0.15, subjectivity=0.475)",0.15,0.475,Kuwait
The Sheikh Jaber Al-Ahmad Cultural Centre contains the largest opera house in the Middle East,"Sentiment(polarity=0.05, subjectivity=0.05)",0.05,0.05,Kuwait
"Kuwait has, in recent years, produced several prominent contemporary writers such as Ismail Fahd Ismail, author of over twenty novels and numerous short story collections","Sentiment(polarity=0.09523809523809523, subjectivity=0.3880952380952381)",0.095238095,0.388095238,Kuwait
"The new Kuwait National Cultural District (KNCD) consists of various cultural venues including Sheikh Abdullah Al Salem Cultural Centre, Sheikh Jaber Al Ahmad Cultural Centre, Al Shaheed Park, and Al Salam Palace","Sentiment(polarity=0.0893939393939394, subjectivity=0.22575757575757582)",0.089393939,0.225757576,Kuwait
"Several Kuwaiti museums are devoted to Islamic art, most notably the Tareq Rajab Museums and Dar al Athar al Islamiyyah cultural centres","Sentiment(polarity=0.275, subjectivity=0.275)",0.275,0.275,Kuwait
Sadu House is among Kuwait's most important cultural institutions,"Sentiment(polarity=0.3333333333333333, subjectivity=0.5333333333333333)",0.333333333,0.533333333,Kuwait
Football is the most popular sport in Kuwait,"Sentiment(polarity=0.55, subjectivity=0.7)",0.55,0.7,Kuwait
Basketball is one of the country's most popular sports,"Sentiment(polarity=0.55, subjectivity=0.7)",0.55,0.7,Kuwait
Ice hockey in Kuwait is governed by the Kuwait Ice Hockey Association,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"Kuwait's media is annually classified as ""partly free"" in the Freedom of Press survey by Freedom House","Sentiment(polarity=0.4, subjectivity=0.8)",0.4,0.8,Kuwait
Kuwait produces more newspapers and magazines per capita than its neighbors,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,Kuwait
The state-owned Kuwait News Agency (KUNA) is the largest media house in the country,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"Kuwait has 15 satellite television channels, of which four are controlled by the Ministry of Information","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Kuwait is a constitutional emirate with a semi-democratic political system,"Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,Kuwait
The Constitution of Kuwait was promulgated in 1962,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
The Constitution of Kuwait is considered a liberal constitution in the GCC,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
The National Assembly is the legislature and has oversight authority,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Executive power is executed by the government,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"The judiciary is nominally independent of the executive and the legislature, and the Constitutional Court is charged with ruling on the conformity of laws and decrees with the constitution","Sentiment(polarity=0.0, subjectivity=0.125)",0,0.125,Kuwait
Kuwaiti women outnumber men in the workforce,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"Political groups and parliamentary voting blocs exist, although most candidates run as independents","Sentiment(polarity=0.25, subjectivity=0.3)",0.25,0.3,Kuwait
"Kuwait follows the ""civil law system"" modeled after the French legal system,[203][204][205] Kuwait's legal system is largely secular","Sentiment(polarity=0.15357142857142858, subjectivity=0.20714285714285713)",0.153571429,0.207142857,Kuwait
The court system in Kuwait is secular,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"Human rights in Kuwait has been the subject of criticism, particularly regarding foreign workers' rights","Sentiment(polarity=-0.03125, subjectivity=0.22291666666666665)",-0.03125,0.222916667,Kuwait
"Kuwaiti activist and blogger Hamad al-Naqi, who is a Kuwaiti Shi'ite, was sentenced to 10 years in prison for ""blasphemous tweets"" and criticizing neighboring Saudi and Bahraini monarchs","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"As of 2009, 20% of the youth in juvenile centres have dyslexia, as compared to the 6% of the general population","Sentiment(polarity=-0.09999999999999999, subjectivity=0.375)",-0.1,0.375,Kuwait
Foreign affairs relations of Kuwait is handled at the level of the Ministry of Foreign Affairs,"Sentiment(polarity=-0.125, subjectivity=0.125)",-0.125,0.125,Kuwait
"Before the Gulf War, Kuwait was the only ""pro-Soviet"" state in the Persian Gulf region","Sentiment(polarity=0.0, subjectivity=1.0)",0,1,Kuwait
