sentence,sentiment,polarity,subjectivity,country
"
Coordinates: 33°50′N 35°50′E﻿ / ﻿33","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Lebanon
"Lebanon (/ˈlɛbənɒn/ (listen); Arabic: لبنان‎, romanized: Lubnān, Lebanese Arabic pronunciation: [lɪbˈneːn]), officially known as the Lebanese Republic[nb 3] (Arabic: الجمهورية اللبنانية‎, romanized: al-Jumhūrīyah al-Lubnānīyah, Lebanese Arabic pronunciation: [elˈʒʊmhuːrɪjje lˈlɪbneːnɪjje]; French: République libanaise), is a country in Western Asia","Sentiment(polarity=-0.375, subjectivity=0.5)",-0.375,0.5,Lebanon
"The earliest evidence of civilization in Lebanon dates back more than seven thousand years, predating recorded history","Sentiment(polarity=0.25, subjectivity=0.25)",0.25,0.25,Lebanon
The region eventually was ruled by the Ottoman Empire from 1516 to 1918,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Lebanon
"Despite its small size,[18] the country has developed a well-known culture and has been highly influential in the Arab world, powered by its large diaspora","Sentiment(polarity=0.05607142857142857, subjectivity=0.4171428571428571)",0.056071429,0.417142857,Lebanon
"The name of Mount Lebanon originates from the Phoenician root lbn (𐤋𐤁𐤍) meaning ""white"", apparently from its snow-capped peaks","Sentiment(polarity=0.025, subjectivity=0.175)",0.025,0.175,Lebanon
"Occurrences of the name have been found in different Middle Bronze Age texts from the library of Ebla,[24] and three of the twelve tablets of the Epic of Gilgamesh","Sentiment(polarity=0.03333333333333333, subjectivity=0.3333333333333333)",0.033333333,0.333333333,Lebanon
"Lebanon as the name of an administrative unit (as opposed to the mountain range) was introduced with the Ottoman reforms of 1861, as the Mount Lebanon Mutasarrifate (Arabic: متصرفية جبل لبنان‎; Turkish: Cebel-i Lübnan Mutasarrıflığı), continued in the name of the State of Greater Lebanon (Arabic: دولة لبنان الكبير‎ Dawlat Lubnān al-Kabīr; French: État du Grand Liban) in 1920, and eventually in the name of the sovereign Republic of Lebanon  (Arabic: الجمهورية اللبنانية‎ al-Jumhūrīyah al-Lubnānīyah) upon its independence in 1943","Sentiment(polarity=0.3333333333333333, subjectivity=0.5)",0.333333333,0.5,Lebanon
The borders of contemporary Lebanon are a product of the Treaty of Sèvres of 1920,"Sentiment(polarity=0.16666666666666666, subjectivity=0.16666666666666666)",0.166666667,0.166666667,Lebanon
"After the 7th-century Muslim conquest of the Levant, it was part of the Rashidun, Umayyad, Abbasid Seljuk and Fatimid empires","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Lebanon
"Evidence dating back to an early settlement in Lebanon was found in Byblos, considered one of the oldest continuously inhabited cities in the world","Sentiment(polarity=0.05, subjectivity=0.15)",0.05,0.15,Lebanon
"Lebanon was a part of northern Canaan, and consequently became the homeland of Canaanite descendants – the Phoenicians, a seafaring people who spread across the Mediterranean in the first millennium BC ","Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.333333333,Lebanon
"The region that is now Lebanon, as with the rest of Syria and much of Anatolia, became a major center of Christianity in the Roman Empire during the early spread of the faith","Sentiment(polarity=0.065625, subjectivity=0.27499999999999997)",0.065625,0.275,Lebanon
During the 7th century the Muslim Arabs conquered Syria establishing a new regime to replace the Byzantines,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.136363636,0.454545455,Lebanon
During the 11th century the Druze religion emerged from a branch of Shia Islam,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Lebanon
