sentence,sentiment,polarity,subjectivity,country
"
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Libya
"
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Libya
"Libya (/ˈlɪbiə/ (listen); Arabic: ليبيا‎, romanized: Lībiyā), officially the State of Libya (Arabic: دولة ليبيا‎, romanized: Dawlat Lībiyā),[dubious  – discuss][6][7][8][9] is Arab country in the Maghreb region in North Africa, bordered by the Mediterranean Sea to the north, Egypt to the east, Sudan to the southeast, Chad to the south, Niger to the southwest, Algeria to the west, and Tunisia to the northwest","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Libya
Libya has been inhabited by Berbers since the late Bronze Age as descendants from Iberomaurusian and Capsian cultures,"Sentiment(polarity=-0.3, subjectivity=0.6)",-0.3,0.6,Libya
Libya became independent as a kingdom in 1951,"Sentiment(polarity=0.0, subjectivity=0.125)",0,0.125,Libya
"Libya is a member of the United Nations (since 1955), the Non-Aligned Movement, the Arab League, the OIC and OPEC","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Libya
,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Libya
"The Latin name Libya (from Greek Λιβύη, Libyē) referred to the region west of the Nile generally corresponding to its central location in North Africa historically visited by many Mediterranean cultures which referred to its original inhabitants as the ""Libúē","Sentiment(polarity=0.15416666666666667, subjectivity=0.3333333333333333)",0.154166667,0.333333333,Libya
"Libya gained independence in 1951 as the United Libyan Kingdom (المملكة الليبية المتحدة al-Mamlakah al-Lībiyyah al-Muttaḥidah), changing its name to the Kingdom of Libya (المملكة الليبية al-Mamlakah al-Lībiyyah) literally ""Libyan Kingdom"" in 1963","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Libya
"The National Transitional Council, established in 2011, referred to the state as simply ""Libya""","Sentiment(polarity=0.0, subjectivity=0.35714285714285715)",0,0.357142857,Libya
"In December 2017 the Permanent Mission of Libya to the United Nations informed the United Nations that the country's official name was henceforth the ""State of Libya""; ""Libya"" remained the official short form, and the country continued to be listed under ""L"" in alphabetical lists","Sentiment(polarity=0.0, subjectivity=0.3)",0,0.3,Libya
The coastal plain of Libya was inhabited by Neolithic peoples from as early as 8000 BC,"Sentiment(polarity=-0.057142857142857134, subjectivity=0.32857142857142857)",-0.057142857,0.328571429,Libya
"In 630 BC, the ancient Greeks colonized the area around Barca in Eastern Libya and founded the city of Cyrene","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Libya
"In 525 BC the Persian army of Cambyses II overran Cyrenaica, which for the next two centuries remained under Persian or Egyptian rule","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Libya
"After the fall of Carthage the Romans did not immediately occupy Tripolitania (the region around Tripoli), but left it instead under control of the kings of Numidia, until the coastal cities asked and obtained its protection","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Libya
