sentence,sentiment,polarity,subjectivity,country
"
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"Coordinates: 32°N 6°W﻿ / ﻿32°N 6°W﻿ / 32; -6
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"English
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"Morocco (/məˈrɒkoʊ/ (listen); Arabic: المغرب‎, romanized: al-maġhrib, lit","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"Since the foundation of the first Moroccan state by Idris I in 788 AD, the country has been ruled by a series of independent dynasties, reaching its zenith under Almoravid and Almohad rule, when it spanned parts of Iberia and northwestern Africa","Sentiment(polarity=0.125, subjectivity=0.22916666666666666)",0.125,0.229166667,Morocco
"Morocco claims the non-self-governing territory of Western Sahara, formerly Spanish Sahara, as its Southern Provinces","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
The sovereign state is a unitary constitutional monarchy with an elected parliament,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"Morocco's predominant religion is Islam, and its official languages are Arabic and Berber, the latter achieving official recognition in 2011,[14] having been the native language of Morocco before the Muslim conquest in the seventh century C","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"Morocco is a member of the Arab League, the Union for the Mediterranean and the African Union","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"The full Arabic name al-Mamlakah al-Maghribiyyah (المملكة المغربية) translates to ""Kingdom of the West""; although ""the West"" in Arabic is الغرب Al-Gharb","Sentiment(polarity=0.35, subjectivity=0.55)",0.35,0.55,Morocco
"Morocco's English name is based on Marrakesh, its capital under the Almoravid dynasty and Almohad Caliphate","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"The area of present-day Morocco has been inhabited since Paleolithic times, sometime between 190,000 and 90,000 BC","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
Mitochondrial DNA studies have discovered a close link between Berbers and the Saami of Scandinavia,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"Northwest Africa and Morocco were slowly drawn into the wider emerging Mediterranean world by the Phoenicians, who established trading colonies and settlements in the early Classical period","Sentiment(polarity=-0.06666666666666668, subjectivity=0.2333333333333333)",-0.066666667,0.233333333,Morocco
Morocco later became a realm of the Northwest African civilisation of ancient Carthage as part of its empire,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
Mauretania became a client kingdom of the Roman Empire in 33 BC,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"During the crisis of the 3rd century, parts of Mauretania were reconquered by Berber tribes","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"The Muslim conquest of the Maghreb, that started in the middle of the 7th century, was achieved by the Umayyad Caliphate early into the following century","Sentiment(polarity=0.03333333333333333, subjectivity=0.13333333333333333)",0.033333333,0.133333333,Morocco
"The indigenous Berber tribes adopted Islam, but retained their customary laws","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"According to medieval legend, Idris ibn Abdallah had fled to Morocco after the Abbasids' massacre of his tribe in Iraq","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"From the 11th century onwards, a series of Berber dynasties arose","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
Portuguese efforts to control the Atlantic sea trade in the 15th century did not greatly affect the interior of Morocco even though they managed to control some possessions on the Moroccan coast but not venturing further afield inland,"Sentiment(polarity=-0.2, subjectivity=0.625)",-0.2,0.625,Morocco
"On another note and according to Elizabeth Allo Isichei, ""In 1520, there was a famine in Morocco so terrible that for a long time other events were dated by it","Sentiment(polarity=-0.39166666666666666, subjectivity=0.5916666666666667)",-0.391666667,0.591666667,Morocco
"In 1549, the region fell to successive Arab dynasties claiming descent from the Islamic prophet, Muhammad: first the Saadi dynasty who ruled from 1549 to 1659, and then the Alaouite dynasty, who remain in power since the 17th century","Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.333333333,Morocco
"Under the Saadi dynasty, the country repulsed Ottoman incursions and a Portuguese invasion at the battle of Ksar el Kebir in 1578","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"In 1631, Morocco was reunited by the Alaouite dynasty, who have been the ruling house of Morocco ever since","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
Morocco was the first nation to recognise the fledgling United States as an independent nation in 1777,"Sentiment(polarity=0.125, subjectivity=0.22916666666666666)",0.125,0.229166667,Morocco
"As Europe industrialised, Northwest Africa was increasingly prized for its potential for colonisation","Sentiment(polarity=0.0, subjectivity=1.0)",0,1,Morocco
"In 1904, France and Spain carved out zones of influence in Morocco","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
Tens of thousands of colonists entered Morocco,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"Between 1921 and 1926, a Berber uprising in the Rif Mountains, led by Abd el-Krim, led to the establishment of the Republic of the Rif","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"In 1943, the Istiqlal Party (Independence Party) was founded to press for independence, with discreet US support","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
France's exile of Sultan Mohammed V in 1953 to Madagascar and his replacement by the unpopular Mohammed Ben Aarafa sparked active opposition to the French and Spanish protectorates,"Sentiment(polarity=-0.044444444444444446, subjectivity=0.19999999999999998)",-0.044444444,0.2,Morocco
"Upon the death of Mohammed V, Hassan II became King of Morocco on 3 March 1961","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
The Spanish enclave of Ifni in the south was returned to Morocco in 1969,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
Moroccan and Algerian troops soon clashed in Western Sahara,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"Algerian authorities have estimated the number of Sahrawi refugees in Algeria to be 165,000","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
Political reforms in the 1990s resulted in the establishment of a bicameral legislature in 1997 and Morocco's first opposition-led government came to power in 1998,"Sentiment(polarity=0.125, subjectivity=0.21666666666666667)",0.125,0.216666667,Morocco
"King Hassan II died in 1999 and was succeeded by his son, Mohammed VI","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
Mohammed VI paid a controversial visit to the Western Sahara in 2002,"Sentiment(polarity=0.275, subjectivity=0.475)",0.275,0.475,Morocco
"In 2002, Morocco and Spain agreed to a US-brokered resolution over the disputed island of Perejil","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"During the 2011–12 Moroccan protests, thousands of people rallied in Rabat and other cities calling for political reform and a new constitution curbing the powers of the king","Sentiment(polarity=0.0037878787878787845, subjectivity=0.3098484848484848)",0.003787879,0.309848485,Morocco
Morocco has a coast by the Atlantic Ocean that reaches past the Strait of Gibraltar into the Mediterranean Sea,"Sentiment(polarity=-0.25, subjectivity=0.25)",-0.25,0.25,Morocco
"The internationally recognised borders of the country lie between latitudes 27° and 36°N, and longitudes 1° and 14°W","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"The geography of Morocco spans from the Atlantic Ocean, to mountainous areas, to the Sahara desert","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
A large part of Morocco is mountainous,"Sentiment(polarity=0.21428571428571427, subjectivity=0.42857142857142855)",0.214285714,0.428571429,Morocco
"Spanish territory in Northwest Africa neighbouring Morocco comprises five enclaves on the Mediterranean coast: Ceuta, Melilla, Peñón de Vélez de la Gomera, Peñón de Alhucemas, the Chafarinas islands, and the disputed islet Perejil","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
The Rif mountains stretch over the region bordering the Mediterranean from the north-west to the north-east,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"Morocco's capital city is Rabat; its largest city is its main port, Casablanca","Sentiment(polarity=0.16666666666666666, subjectivity=0.3333333333333333)",0.166666667,0.333333333,Morocco
Morocco is represented in the ISO 3166-1 alpha-2 geographical encoding standard by the symbol MA,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Morocco
"The country's Mediterranean climate is similar to that of southern California, with lush forests in the northern and central mountain ranges of the country, giving way to drier conditions and inland deserts further southeast","Sentiment(polarity=0.02, subjectivity=0.29)",0.02,0.29,Morocco
"In the Rif, Middle and High Atlas Mountains, there exist several different types of climates: Mediterranean along the coastal lowlands, giving way to a humid temperate climate at higher elevations with sufficient moisture to allow for the growth of different species of oaks, moss carpets, junipers, and Atlantic fir which is a royal conifer tree endemic to Morocco","Sentiment(polarity=0.06833333333333334, subjectivity=0.3733333333333333)",0.068333333,0.373333333,Morocco
"Southeast of the Atlas mountains, near the Algerian borders, the climate becomes very dry, with long and hot summers","Sentiment(polarity=0.05333333333333334, subjectivity=0.6075)",0.053333333,0.6075,Morocco
"In contrast to the Sahara region in the south, coastal plains are fertile in the central and northern regions of the country, and comprise the backbone of the country's agriculture, in which 95% of the population live","Sentiment(polarity=0.06818181818181818, subjectivity=0.375)",0.068181818,0.375,Morocco
