sentence,sentiment,polarity,subjectivity,country
"
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Palestine
"The term ""Palestinian territories"" has been used for many years to describe the territories occupied by Israel since 1967, namely the West Bank (including East Jerusalem) and the Gaza Strip","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,Palestine
"The West Bank and Gaza Strip had been ruled by Jordan and Egypt, respectively, since the 1948 war until 1967","Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,Palestine
"In 1988, with the Palestine Liberation Organization (PLO) intention to declare a Palestinian State, Jordan renounced all territorial claims to the West Bank, including East Jerusalem","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Palestine
Israel disengaged from the Gaza Strip in 2005,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Palestine
"On 29 November 2012, UNGA 67/19 reaffirmed ""the right of the Palestinian people to self-determination and to independence in their State of Palestine on the Palestinian territory occupied since 1967"" and decided ""to accord to Palestine non-member observer State status in the United Nations""","Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0.285714286,0.535714286,Palestine
"In 2014, the two political groups agreed to hold elections and form a compromise unity government","Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,Palestine
"The United Nations, the European Union, International Committee of the Red Cross, and the government of the United Kingdom all refer to the ""Occupied Palestinian Territory"" or ""Occupied Palestinian Territories""","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Palestine
"The Israeli Ministry of Foreign Affairs[49] and Dore Gold[50] have objected to the use of the term ""Occupied Palestinian Territories""","Sentiment(polarity=-0.125, subjectivity=0.125)",-0.125,0.125,Palestine
The Palestinian Territories consist of two distinct areas: the West Bank (including East Jerusalem) and the Gaza Strip,"Sentiment(polarity=0.3, subjectivity=0.3)",0.3,0.3,Palestine
The eastern limit of the West Bank is the border with Jordan,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Palestine
The southern limit of the Gaza Strip is the border with Egypt,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Palestine
The Gaza Strip is bounded by the Mediterranean Sea,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Palestine
The Palestinian territories are part of the area intended by the United Nations to become the territory of the future State of Palestine,"Sentiment(polarity=0.0, subjectivity=0.125)",0,0.125,Palestine
"In the UN, nearly all countries voted in favour of Resolution 58/292 of 17 May 2004; namely, that the boundaries of a future Palestinian state should be based on the pre-1967 borders, which correspond with the Green Line","Sentiment(polarity=-0.03333333333333333, subjectivity=0.27499999999999997)",-0.033333333,0.275,Palestine
"On 29 November 2012, the UN General Assembly passed United Nations General Assembly resolution 67/19 changing Palestine's observer status at the UN from ""entity"" to ""non-member state"" by a vote of 138 to 9, with 41 abstentions","Sentiment(polarity=0.05000000000000002, subjectivity=0.5)",0.05,0.5,Palestine
"Immediately after the Six-Day War of June 1967, Israel effectively annexed East Jerusalem, an area comprising the much smaller prior Jordanian municipality of east Jerusalem and a surrounding area of the West Bank, as far as Kalandia to the north and Har Homa to the south","Sentiment(polarity=0.175, subjectivity=0.575)",0.175,0.575,Palestine
Palestinians regard East Jerusalem as the capital of the future Palestinian state,"Sentiment(polarity=0.0, subjectivity=0.125)",0,0.125,Palestine
"According to the Israeli Supreme Court, the Fourth Geneva Convention, which prohibits unilateral annexation of occupied territory, does not[dubious  – discuss] apply to East Jerusalem, as there was no[dubious  – discuss] ""legitimate sovereign""[citation needed] recognised by Israel and its allies previously exercising control over the territory","Sentiment(polarity=-0.2222222222222222, subjectivity=0.28888888888888886)",-0.222222222,0.288888889,Palestine
"In 2005, Israel pulled all its remaining forces out of the Gaza Strip and dismantled its settlements","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Palestine
Israel remains an occupying Power in respect of Gaza,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Palestine
" Member State of the Arab League
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Palestine
