sentence,sentiment,polarity,subjectivity,country
"
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Tunisia
in Africa (light blue),"Sentiment(polarity=0.2, subjectivity=0.39999999999999997)",0.2,0.4,Tunisia
"Tunisia[a], officially the Republic of Tunisia[b][18], is a country in the Maghreb region of North Africa, covering 163,610 square kilometres (63,170 square miles)","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Tunisia
"Geographically, Tunisia contains the eastern end of the Atlas Mountains, and the northern reaches of the Sahara desert","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Tunisia
Tunisia is a unitary semi-presidential representative democratic republic,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Tunisia
"In ancient times, Tunisia was primarily inhabited by Berbers","Sentiment(polarity=0.4, subjectivity=0.5)",0.4,0.5,Tunisia
The word Tunisia is derived from Tunis; a central urban hub and the capital of modern-day Tunisia,"Sentiment(polarity=0.0, subjectivity=0.125)",0,0.125,Tunisia
"The French derivative Tunisie was adopted in some European languages with slight modifications, introducing a distinctive name to designate the country","Sentiment(polarity=-0.05555555555555555, subjectivity=0.05555555555555555)",-0.055555556,0.055555556,Tunisia
"Before Tunisia, the territory's name was Ifriqiya or Africa, which gave the present-day name of the continent Africa","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Tunisia
"Farming methods reached the Nile Valley from the Fertile Crescent region about 5000 BC, and spread to the Maghreb by about 4000 BC","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Tunisia
"It was believed in ancient times that Africa was originally populated by Gaetulians and Libyans, both nomadic peoples","Sentiment(polarity=0.375, subjectivity=0.75)",0.375,0.75,Tunisia
The Numidians and Moors belonged to the race from which the Berbers are descended,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Tunisia
"At the beginning of recorded history, Tunisia was inhabited by Berber tribes","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Tunisia
"After the series of wars with Greek city-states of Sicily in the 5th century BC, Carthage rose to power and eventually became the dominant civilization in the Western Mediterranean","Sentiment(polarity=0.19999999999999998, subjectivity=0.31666666666666665)",0.2,0.316666667,Tunisia
"A Carthaginian invasion of Italy led by Hannibal during the Second Punic War, one of a series of wars with Rome, nearly crippled the rise of Roman power","Sentiment(polarity=0.05, subjectivity=0.2)",0.05,0.2,Tunisia
"Following the Battle of Carthage which began in 149 BC during the Third Punic War, Carthage was conquered by Rome in 146 BC","Sentiment(polarity=0.0, subjectivity=0.05)",0,0.05,Tunisia
"During the Roman period, the area of what is now Tunisia enjoyed a huge development","Sentiment(polarity=0.45000000000000007, subjectivity=0.8)",0.45,0.8,Tunisia
"By the 2nd century, olive oil rivaled cereals as an export item","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Tunisia
"There was even a huge production of mosaics and ceramics, exported mainly to Italy, in the central area of El Djem (where there was the second biggest amphitheater in the Roman Empire)","Sentiment(polarity=0.1416666666666667, subjectivity=0.37083333333333335)",0.141666667,0.370833333,Tunisia
Berber bishop Donatus Magnus was the founder of a Christian group known as the Donatists,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Tunisia
