sentence,sentiment,polarity,subjectivity,country
"
Coordinates: 15°N 48°E﻿ / ﻿15°N 48°E﻿ / 15; 48
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Yemen
"Yemen (/ˈjɛmən/ (listen); Arabic: اَلْيَمَنُ‎, romanized: al-Yaman), sometimes spelled Yaman, officially the Republic of Yemen (Arabic: اَلْجُمْهُورِيَّةُ ٱلْيَمَنِيَّةُ‎, romanized: al-Jumhūrīyah al-Yamanīyah, literally ""Yemeni Republic""), is a country at the southern end of the Arabian Peninsula in Western Asia","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Yemen
"Yemen's constitutionally stated capital is the city of Sana'a, but the city has been under Houthi rebel control since February 2015","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Yemen
"In ancient times, Yemen was the home of the Sabaeans,[13][14][15] a trading state that flourished for over a thousand years and included parts of modern-day Ethiopia and Eritrea","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Yemen
"Since 2011, Yemen has been in a state of political crisis starting with street protests against poverty, unemployment, corruption, and president Saleh's plan to amend Yemen's constitution and eliminate the presidential term limit, in effect making him president for life","Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,Yemen
The conflict has resulted in a famine affecting 17 million people,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Yemen
The term Yamnat was mentioned in Old South Arabian inscriptions on the title of one of the kings of the second Himyarite kingdom known as Shammar Yahrʽish II,"Sentiment(polarity=0.05, subjectivity=0.1)",0.05,0.1,Yemen
"One etymology derives Yemen from ymnt, meaning ""South"", and significantly plays on the notion of the land to the right (𐩺𐩣𐩬)","Sentiment(polarity=0.33035714285714285, subjectivity=0.7053571428571428)",0.330357143,0.705357143,Yemen
"Other sources claim that Yemen is related to yamn or yumn, meaning ""felicity"" or ""blessed"", as much of the country is fertile","Sentiment(polarity=0.025000000000000005, subjectivity=0.325)",0.025,0.325,Yemen
"With its long sea border between eastern and western civilizations, Yemen has long existed at a crossroads of cultures with a strategic location in terms of trade on the west of the Arabian Peninsula","Sentiment(polarity=-0.03333333333333333, subjectivity=0.26666666666666666)",-0.033333333,0.266666667,Yemen
The Sabaean Kingdom came into existence from at least the 11th century BCE,"Sentiment(polarity=-0.3, subjectivity=0.4)",-0.3,0.4,Yemen
