sentence,sentiment,polarity,subjectivity,country
"
","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,Kuwait
"
Coordinates: 29°30′N 47°45′E﻿ / ﻿29","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,Kuwait
"Kuwait (/kʊˈweɪt/ (listen);[6][7] Arabic: الكويت‎ al-Kuwait, Gulf Arabic pronunciation: [ɪl‿ɪkweːt] or [lɪkweːt]), officially the State of Kuwait (Arabic: دولة الكويت‎ Dawlat al-Kuwait), is a country in Western Asia","Sentiment(polarity=-0.375, subjectivity=0.5)",-0.375,0.5,Kuwait
Oil reserves were discovered in commercial quantities in 1938,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,Kuwait
Kuwait is a constitutional sovereign state with a semi-democratic political system,"Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1,Kuwait
"In 1613, the town of Kuwait was founded in modern-day Kuwait City","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,Kuwait
"During the Persian siege of Basra in 1775–79, Iraqi merchants took refuge in Kuwait and were partly instrumental in the expansion of Kuwait's boat-building and trading activities","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,Kuwait
Kuwait was the center of boat building in the Persian Gulf region,"Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1,Kuwait
"In the 1890s, Kuwait was threatened by the Ottoman Empire","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,Kuwait
"Following the Kuwait–Najd War of 1919–20, Ibn Saud imposed a trade blockade against Kuwait from the years 1923 until 1937","Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1,Kuwait
"The Great Depression harmed Kuwait's economy, starting in the late 1920s","Sentiment(polarity=0.16666666666666666, subjectivity=0.48333333333333334)",0.166666667,0.483333333,Kuwait
Historian Hanna Batatu explains how the British threatened to take the Kurdish area and Mosul out of Iraq provided that King Faisal granted Britain control of the oil in the region,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,Kuwait
"With the end of the world war, and increasing need for oil across the world, Kuwait experienced a period of prosperity driven by oil and its liberal atmosphere","Sentiment(polarity=0.8, subjectivity=0.9)",0.8,0.9,Kuwait
"In the 1960s and 1970s, Kuwait was considered by some as the most developed country in the region","Sentiment(polarity=0.3, subjectivity=0.4)",0.3,0.4,Kuwait
"In the 1960s and 1970s, Kuwait's press was described as one of the freest in the world","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,Kuwait
Kuwaiti society embraced liberal and Western attitudes throughout the 1960s and 1970s,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,Kuwait
"In the early 1980s, Kuwait experienced a major economic crisis after the Souk Al-Manakh stock market crash and decrease in oil price","Sentiment(polarity=0.290625, subjectivity=0.475)",0.290625,0.475,Kuwait
"During the Iran–Iraq War, Kuwait supported Iraq","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,Kuwait
"After the Iran–Iraq War ended, Kuwait declined an Iraqi request to forgive its US$65 billion debt","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,Kuwait
"In August 1990, Iraqi forces invaded and annexed Kuwait","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,Kuwait
"In March 2003, Kuwait became the springboard for the US-led invasion of Iraq","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,Kuwait
