Country,Question_Number,Question_Answer,Percentage,HAPPINESS_2019_Score,HAPPINESS_2019_GDP.per.capita,HAPPINESS_2019_Social.support,HAPPINESS_2019_Healthy.life.expectancy,HAPPINESS_2019_Freedom.to.make.life.choices,HAPPINESS_2019_Generosity,HAPPINESS_2019_Perceptions.of.corruption,Strategic_Dev,Battles,Protests,Explosions_Remote_Violence,Riots,Violence_Against_Civ,cluster,mean_cluster_add_Total_AVG_polarity_avf,mean_cluster_add_Total_AVG_subjectivity_avg
Yemen,Q204A_1,"1","0.177083333","3.38","0.287","1.163","0.463","0.143","0.108","0.077","0.049056514","0.276416412","0.025901461","0.612472477","0.003480361","0.032672775","1","0.073","0.252"
Yemen,Q204A_1,"2","0.38375","3.38","0.287","1.163","0.463","0.143","0.108","0.077","0.049056514","0.276416412","0.025901461","0.612472477","0.003480361","0.032672775","1","0.073","0.252"
Yemen,Q204A_1,"3","0.291666667","3.38","0.287","1.163","0.463","0.143","0.108","0.077","0.049056514","0.276416412","0.025901461","0.612472477","0.003480361","0.032672775","1","0.073","0.252"
Yemen,Q204A_1,"4","0.141666667","3.38","0.287","1.163","0.463","0.143","0.108","0.077","0.049056514","0.276416412","0.025901461","0.612472477","0.003480361","0.032672775","1","0.073","0.252"
Yemen,Q204A_1,"98","0.005416667","3.38","0.287","1.163","0.463","0.143","0.108","0.077","0.049056514","0.276416412","0.025901461","0.612472477","0.003480361","0.032672775","1","0.073","0.252"
Yemen,Q204A_1,"99","0.000416667","3.38","0.287","1.163","0.463","0.143","0.108","0.077","0.049056514","0.276416412","0.025901461","0.612472477","0.003480361","0.032672775","1","0.073","0.252"
Yemen,Q204A_2,"1","0.141666667","3.38","0.287","1.163","0.463","0.143","0.108","0.077","0.049056514","0.276416412","0.025901461","0.612472477","0.003480361","0.032672775","1","0.073","0.252"
Yemen,Q204A_2,"2","0.387083333","3.38","0.287","1.163","0.463","0.143","0.108","0.077","0.049056514","0.276416412","0.025901461","0.612472477","0.003480361","0.032672775","1","0.073","0.252"
Yemen,Q204A_2,"3","0.29125","3.38","0.287","1.163","0.463","0.143","0.108","0.077","0.049056514","0.276416412","0.025901461","0.612472477","0.003480361","0.032672775","1","0.073","0.252"
Yemen,Q204A_2,"4","0.177083333","3.38","0.287","1.163","0.463","0.143","0.108","0.077","0.049056514","0.276416412","0.025901461","0.612472477","0.003480361","0.032672775","1","0.073","0.252"
Yemen,Q204A_2,"98","0.001666667","3.38","0.287","1.163","0.463","0.143","0.108","0.077","0.049056514","0.276416412","0.025901461","0.612472477","0.003480361","0.032672775","1","0.073","0.252"
Yemen,Q204A_2,"99","0.00125","3.38","0.287","1.163","0.463","0.143","0.108","0.077","0.049056514","0.276416412","0.025901461","0.612472477","0.003480361","0.032672775","1","0.073","0.252"
Iraq,Q204A_1,"1","0.03291345","4.437","1.043","0.98","0.574","0.241","0.148","0.089","0.060010193","0.257071265","0.074025312","0.52862482","0.020513038","0.059755372","2","0.048666667","0.269666667"
Iraq,Q204A_1,"2","0.23364486","4.437","1.043","0.98","0.574","0.241","0.148","0.089","0.060010193","0.257071265","0.074025312","0.52862482","0.020513038","0.059755372","2","0.048666667","0.269666667"
Iraq,Q204A_1,"3","0.287687932","4.437","1.043","0.98","0.574","0.241","0.148","0.089","0.060010193","0.257071265","0.074025312","0.52862482","0.020513038","0.059755372","2","0.048666667","0.269666667"
Iraq,Q204A_1,"4","0.442909386","4.437","1.043","0.98","0.574","0.241","0.148","0.089","0.060010193","0.257071265","0.074025312","0.52862482","0.020513038","0.059755372","2","0.048666667","0.269666667"
Iraq,Q204A_1,"98","0.002438033","4.437","1.043","0.98","0.574","0.241","0.148","0.089","0.060010193","0.257071265","0.074025312","0.52862482","0.020513038","0.059755372","2","0.048666667","0.269666667"
Iraq,Q204A_1,"99","0.000406339","4.437","1.043","0.98","0.574","0.241","0.148","0.089","0.060010193","0.257071265","0.074025312","0.52862482","0.020513038","0.059755372","2","0.048666667","0.269666667"
Iraq,Q204A_2,"1","0.053636733","4.437","1.043","0.98","0.574","0.241","0.148","0.089","0.060010193","0.257071265","0.074025312","0.52862482","0.020513038","0.059755372","2","0.048666667","0.269666667"
Iraq,Q204A_2,"2","0.280373832","4.437","1.043","0.98","0.574","0.241","0.148","0.089","0.060010193","0.257071265","0.074025312","0.52862482","0.020513038","0.059755372","2","0.048666667","0.269666667"
Iraq,Q204A_2,"3","0.282405526","4.437","1.043","0.98","0.574","0.241","0.148","0.089","0.060010193","0.257071265","0.074025312","0.52862482","0.020513038","0.059755372","2","0.048666667","0.269666667"
